,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,S. Pio X  Mantova,46.0,26.0,23.0,3.0,2031.0,1667.0,364.0,11.0,12.0,2.0,1.0
1,Junior  Basket Curtatone,44.0,26.0,22.0,4.0,2088.0,1711.0,377.0,12.0,10.0,1.0,3.0
2,A. Dil.  Basket Casalmaggiore,42.0,26.0,21.0,5.0,2086.0,1707.0,379.0,11.0,10.0,2.0,3.0
3,Tazio Magni  Gussola,38.0,26.0,19.0,7.0,2033.0,1688.0,345.0,10.0,9.0,3.0,4.0
4,ASD CXO  Basket,28.0,26.0,14.0,12.0,1892.0,1761.0,131.0,10.0,4.0,3.0,9.0
5,Ombriano  Basket 2004,26.0,26.0,13.0,13.0,1820.0,1818.0,2.0,9.0,4.0,4.0,9.0
6,US  Padernese Basket,26.0,26.0,13.0,13.0,1742.0,1771.0,-29.0,8.0,5.0,5.0,8.0
7,Ospitaletto  Basket ASD,24.0,26.0,12.0,14.0,1775.0,1813.0,-38.0,8.0,4.0,5.0,9.0
8,A. Dil.  Pontevico Basket,24.0,26.0,12.0,14.0,1920.0,2042.0,-122.0,7.0,5.0,6.0,8.0
9,ASD River  Basket,22.0,26.0,11.0,15.0,1815.0,1825.0,-10.0,9.0,2.0,4.0,11.0
10,Basket  Bancole,20.0,26.0,10.0,16.0,1889.0,2129.0,-240.0,8.0,2.0,5.0,11.0
11,AS Dil.  Vanoli Young,18.0,26.0,9.0,17.0,1869.0,1969.0,-100.0,5.0,4.0,8.0,9.0
12,Vespa  Basket ASD,4.0,26.0,2.0,24.0,1616.0,2085.0,-469.0,2.0,0.0,11.0,13.0
13,ASD  Bedizzole Basket,2.0,26.0,1.0,25.0,1685.0,2275.0,-590.0,1.0,0.0,12.0,13.0
