,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Tecnoadda  Mandello,46.0,26.0,23.0,3.0,1870.0,1466.0,404.0,12.0,11.0,1.0,2.0
1,Edilcasa  Civatese,40.0,26.0,20.0,6.0,1788.0,1558.0,230.0,11.0,9.0,2.0,4.0
2,Medinmove  Basket Vercurago,38.0,26.0,19.0,7.0,1809.0,1555.0,254.0,12.0,7.0,1.0,6.0
3,A. Dil. Sportiva  Basket,34.0,26.0,17.0,9.0,1816.0,1703.0,113.0,10.0,7.0,3.0,6.0
4,SBT  Treviglio,30.0,26.0,15.0,11.0,1628.0,1573.0,55.0,9.0,6.0,4.0,7.0
5,Basket  Cologno Al Serio,30.0,26.0,15.0,11.0,1661.0,1646.0,15.0,9.0,6.0,4.0,7.0
6,Red Cat  Device La Torre,28.0,26.0,14.0,12.0,1826.0,1661.0,165.0,7.0,7.0,6.0,6.0
7,ASD Basket  Verdello,26.0,26.0,13.0,13.0,1721.0,1784.0,-63.0,7.0,6.0,6.0,7.0
8,Pol. ARS  Rovagnate,24.0,26.0,12.0,14.0,1641.0,1757.0,-116.0,6.0,6.0,7.0,7.0
9,ASD Basket  Nibionno,22.0,26.0,11.0,15.0,1694.0,1697.0,-3.0,4.0,7.0,9.0,6.0
10,ASD Basket  Carnate,18.0,26.0,9.0,17.0,1721.0,1867.0,-146.0,6.0,3.0,7.0,10.0
11,Autovittani  Pescate,14.0,26.0,7.0,19.0,1604.0,1751.0,-147.0,3.0,4.0,10.0,9.0
12,Visconti Basket  Brignano,12.0,26.0,6.0,20.0,1564.0,1852.0,-288.0,5.0,1.0,8.0,12.0
13,Zani Viaggi  S. Pellegrino,2.0,26.0,1.0,25.0,1407.0,1880.0,-473.0,0.0,1.0,13.0,12.0
