,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Gilbertina  Soresina,50.0,30.0,25.0,5.0,2300.0,2036.0,264.0,13.0,12.0,2.0,3.0
1,New Basket  Prevalle,48.0,30.0,24.0,6.0,2267.0,1951.0,316.0,13.0,11.0,2.0,4.0
2,Sesa BK  Sustinente,38.0,30.0,19.0,11.0,2190.0,2089.0,101.0,10.0,9.0,5.0,6.0
3,Asola Lions  Del Chiese,34.0,30.0,17.0,13.0,2258.0,2180.0,78.0,9.0,8.0,6.0,7.0
4,Olimpia  Lumezzane,34.0,30.0,17.0,13.0,2143.0,2069.0,74.0,9.0,8.0,6.0,7.0
5,Lic  Verolanuova,34.0,30.0,17.0,13.0,2204.0,2152.0,52.0,7.0,10.0,8.0,5.0
6,Pall.  Quistello,32.0,30.0,16.0,14.0,1999.0,1917.0,82.0,9.0,7.0,6.0,8.0
7,Basket  Sarezzo,32.0,30.0,16.0,14.0,2006.0,1969.0,37.0,9.0,7.0,6.0,8.0
8,Viadana  Basket,32.0,30.0,16.0,14.0,2180.0,2099.0,81.0,9.0,7.0,6.0,8.0
9,Persico  Seriana Basket,32.0,30.0,16.0,14.0,2077.0,2045.0,32.0,10.0,6.0,5.0,9.0
10,Bellini  Virtus Gorle,28.0,30.0,14.0,16.0,2197.0,2221.0,-24.0,7.0,7.0,8.0,8.0
11,Cral  Dalmine,28.0,30.0,14.0,16.0,2057.0,2142.0,-85.0,8.0,6.0,7.0,9.0
12,Bottanuco  Basket,24.0,30.0,12.0,18.0,1993.0,2104.0,-111.0,7.0,5.0,8.0,10.0
13,Basket Ome  01,20.0,30.0,10.0,20.0,2047.0,2156.0,-109.0,6.0,4.0,9.0,11.0
14,XXL  Bluorobica Bergamo,10.0,30.0,5.0,25.0,2254.0,2554.0,-300.0,4.0,1.0,11.0,14.0
15,Virtus  Brescia,4.0,30.0,2.0,28.0,1853.0,2341.0,-488.0,0.0,2.0,15.0,13.0
