,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Team ABC  Cantù,54.0,30.0,27.0,3.0,2318.0,1894.0,424.0,13.0,14.0,2.0,1.0
1,Hydrotherm  Busto Arsizio,42.0,30.0,21.0,9.0,2232.0,1962.0,270.0,14.0,7.0,1.0,8.0
2,Rovello  Porro,42.0,30.0,21.0,9.0,2119.0,1848.0,271.0,11.0,10.0,4.0,5.0
3,Verbano  Luino,40.0,30.0,20.0,10.0,2064.0,2007.0,57.0,11.0,9.0,4.0,6.0
4,CRAC  Bionics Buccinasco,36.0,30.0,18.0,12.0,2206.0,2033.0,173.0,9.0,9.0,6.0,6.0
5,Groane  Lentate,36.0,30.0,18.0,12.0,2093.0,2015.0,78.0,11.0,7.0,4.0,8.0
6,Aironi  Pallacanestro Robbio,32.0,30.0,16.0,14.0,2151.0,2108.0,43.0,11.0,5.0,4.0,10.0
7,Pallacanestro  Castronno,30.0,30.0,15.0,15.0,2101.0,2053.0,48.0,8.0,7.0,7.0,8.0
8,ASD Phoenix  Iria Basket,30.0,30.0,15.0,15.0,1956.0,2012.0,-56.0,8.0,7.0,7.0,8.0
9,ASD  Sportiva Boffalorese,28.0,30.0,14.0,16.0,2076.0,2117.0,-41.0,8.0,6.0,7.0,9.0
10,Milano 3  Basiglio,26.0,30.0,13.0,17.0,2096.0,2112.0,-16.0,7.0,6.0,8.0,9.0
11,Aba Legnano,22.0,30.0,11.0,19.0,1918.0,2018.0,-100.0,6.0,5.0,9.0,10.0
12,GS  Casoratese,20.0,30.0,10.0,20.0,1941.0,2117.0,-176.0,6.0,4.0,9.0,11.0
13,Rams  Daverio,20.0,30.0,10.0,20.0,1894.0,2158.0,-264.0,7.0,3.0,8.0,12.0
14,Cassano  Magnago,14.0,30.0,7.0,23.0,1912.0,2226.0,-314.0,5.0,2.0,10.0,13.0
15,Baskettiamo  Vittuone,8.0,30.0,4.0,26.0,1823.0,2220.0,-397.0,3.0,1.0,12.0,14.0
