,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,ASD Basket  Club Arlunese,36.0,26.0,18.0,8.0,2043.0,1887.0,156.0,9.0,9.0,4.0,4.0
1,Virtus  Olona,36.0,26.0,18.0,8.0,1986.0,1793.0,193.0,11.0,7.0,2.0,6.0
2,ASD Basket  Venegono,34.0,26.0,17.0,9.0,1983.0,1836.0,147.0,10.0,7.0,3.0,6.0
3,OR.MA  Basket Malnate,32.0,26.0,16.0,10.0,1748.0,1629.0,119.0,11.0,5.0,2.0,8.0
4,AS DIL.  Campus Varese,32.0,26.0,16.0,10.0,1902.0,1835.0,67.0,10.0,6.0,3.0,7.0
5,Sportlandia  Tradate,28.0,26.0,14.0,12.0,1694.0,1752.0,-58.0,9.0,5.0,4.0,8.0
6,Basket  Legnano 91,27.0,26.0,15.0,11.0,1728.0,1701.0,27.0,10.0,5.0,3.0,8.0
7,Motrix  Cavaria,26.0,26.0,13.0,13.0,1880.0,1893.0,-13.0,7.0,6.0,6.0,7.0
8,US  Marnatese Basket,26.0,26.0,13.0,13.0,1768.0,1674.0,94.0,7.0,6.0,6.0,7.0
9,Libertas  Vanzago,24.0,26.0,12.0,14.0,1879.0,1923.0,-44.0,5.0,7.0,8.0,6.0
10,ASD Limax  Clivio,20.0,26.0,10.0,16.0,1731.0,1908.0,-177.0,5.0,5.0,8.0,8.0
11,Junior  Knights Legnano,18.0,26.0,9.0,17.0,1824.0,1882.0,-58.0,5.0,4.0,8.0,9.0
12,La Sportiva  Gavirate,14.0,26.0,7.0,19.0,1595.0,1892.0,-297.0,6.0,1.0,7.0,12.0
13,Pall.  Vergiate Vikings,8.0,26.0,4.0,22.0,1818.0,1974.0,-156.0,1.0,3.0,12.0,10.0
