,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,ASD Ardens  Basket Sedriano,46.0,26.0,23.0,3.0,1924.0,1593.0,331.0,11.0,12.0,2.0,1.0
1,A. Dil.  Nova Basket 2003,44.0,26.0,22.0,4.0,1953.0,1684.0,269.0,11.0,11.0,2.0,2.0
2,USD Basket  Sanmaurense,40.0,26.0,20.0,6.0,1706.0,1464.0,242.0,11.0,9.0,2.0,4.0
3,Nuova  Olimpia BK Voghera,32.0,26.0,16.0,10.0,1729.0,1667.0,62.0,11.0,5.0,2.0,8.0
4,Old Socks  S. Martino,30.0,26.0,15.0,11.0,1710.0,1628.0,82.0,7.0,8.0,6.0,5.0
5,Settimo  Basket ASD,28.0,26.0,14.0,12.0,1714.0,1691.0,23.0,9.0,5.0,4.0,8.0
6,ASD  Pallacanestro Tromello,28.0,26.0,14.0,12.0,1720.0,1707.0,13.0,8.0,6.0,5.0,7.0
7,Ass. Sport.  Dil. S. Giuseppe,26.0,26.0,13.0,13.0,1608.0,1615.0,-7.0,9.0,4.0,4.0,9.0
8,Vismara  Hoosiers,22.0,26.0,11.0,15.0,1592.0,1661.0,-69.0,7.0,4.0,6.0,9.0
9,OSL  Garbagnate,20.0,26.0,10.0,16.0,1810.0,1973.0,-163.0,7.0,3.0,6.0,10.0
10,AS Dil.  Pall. Stradella,18.0,26.0,9.0,17.0,1575.0,1701.0,-126.0,7.0,2.0,6.0,11.0
11,ASD Pol.  Garegnano,14.0,26.0,7.0,19.0,1680.0,1689.0,-9.0,4.0,3.0,9.0,10.0
12,ASD Here  you can,10.0,26.0,5.0,21.0,1674.0,1962.0,-288.0,3.0,2.0,10.0,11.0
13,U.S.G.  Abbiategrasso,6.0,26.0,3.0,23.0,1570.0,1930.0,-360.0,3.0,0.0,10.0,13.0
