,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,AS Dil.  Lesmo 2004,46.0,30.0,23.0,7.0,2349.0,2088.0,261.0,12.0,11.0,3.0,4.0
1,Ebro Basket,44.0,30.0,22.0,8.0,2055.0,1826.0,229.0,13.0,9.0,2.0,6.0
2,Fortitudo  Busnago,42.0,30.0,21.0,9.0,2179.0,2037.0,142.0,13.0,8.0,2.0,7.0
3,O.SA.L.  Novate,38.0,30.0,19.0,11.0,2039.0,1941.0,98.0,10.0,9.0,5.0,6.0
4,Team 86  Villasanta,34.0,30.0,17.0,13.0,1975.0,1907.0,68.0,10.0,7.0,5.0,8.0
5,Soul Basket  Milano,32.0,30.0,16.0,14.0,2013.0,1938.0,75.0,10.0,6.0,5.0,9.0
6,Carpe Diem  Calolziocorte,28.0,30.0,14.0,16.0,1903.0,1922.0,-19.0,9.0,5.0,6.0,10.0
7,Bocconi  Milano,28.0,30.0,14.0,16.0,1834.0,1892.0,-58.0,10.0,4.0,5.0,11.0
8,Basketown  Milano,28.0,30.0,14.0,16.0,2154.0,2211.0,-57.0,9.0,5.0,6.0,10.0
9,Rondinella  Sesto,28.0,30.0,14.0,16.0,1947.0,2023.0,-76.0,8.0,6.0,7.0,9.0
10,Posal Sesto  San Giovanni,26.0,30.0,13.0,17.0,1969.0,1994.0,-25.0,7.0,6.0,8.0,9.0
11,Social Osa,26.0,30.0,13.0,17.0,1863.0,1935.0,-72.0,7.0,6.0,8.0,9.0
12,ASD  Morbegno,24.0,30.0,12.0,18.0,1916.0,2057.0,-141.0,7.0,5.0,8.0,10.0
13,Di.Po.  Vimercate,22.0,30.0,11.0,19.0,1998.0,2001.0,-3.0,8.0,3.0,7.0,12.0
14,Ussa Nova  Milanese,18.0,30.0,9.0,21.0,1806.0,1990.0,-184.0,7.0,2.0,8.0,13.0
15,Gamma BK  Segrate,16.0,30.0,8.0,22.0,2007.0,2245.0,-238.0,7.0,1.0,8.0,14.0
