,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Nuova Pall.  Vigevano 1955,48.0,24.0,24.0,0.0,1909.0,1327.0,582.0,12.0,12.0,0.0,0.0
1,7 Laghi  Gazzada Schianno,38.0,24.0,19.0,5.0,1813.0,1594.0,219.0,11.0,8.0,1.0,4.0
2,Robur  Saronno,32.0,24.0,16.0,8.0,1791.0,1661.0,130.0,9.0,7.0,3.0,5.0
3,Basket Team  Mortara,32.0,24.0,16.0,8.0,1797.0,1649.0,148.0,9.0,7.0,3.0,5.0
4,Milano 3  Basket Basiglio,28.0,24.0,14.0,10.0,1795.0,1769.0,26.0,10.0,4.0,2.0,8.0
5,Nervianese  1919,26.0,24.0,13.0,11.0,1779.0,1671.0,108.0,9.0,4.0,3.0,8.0
6,Virtus  Cermenate,26.0,24.0,13.0,11.0,1565.0,1654.0,-89.0,7.0,6.0,5.0,6.0
7,Cistellum  Cislago,18.0,24.0,9.0,15.0,1482.0,1605.0,-123.0,5.0,4.0,7.0,8.0
8,Opera Basket Club,18.0,24.0,9.0,15.0,1513.0,1603.0,-90.0,7.0,2.0,5.0,10.0
9,Valceresio Arcisate,16.0,24.0,8.0,16.0,1554.0,1749.0,-195.0,6.0,2.0,6.0,10.0
10,Casa  Gioventù Erba,14.0,24.0,7.0,17.0,1475.0,1605.0,-130.0,5.0,2.0,7.0,10.0
11,Basketball  Gallarate,12.0,24.0,6.0,18.0,1690.0,1850.0,-160.0,2.0,4.0,10.0,8.0
12,Pall. Cerro  Maggiore,4.0,24.0,2.0,22.0,1374.0,1800.0,-426.0,1.0,1.0,11.0,11.0
