,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,JUVI  Cremona,40.0,24.0,20.0,4.0,1708.0,1414.0,294.0,8.0,12.0,4.0,0.0
1,Corona  Platina Piadena,36.0,24.0,18.0,6.0,1894.0,1619.0,275.0,10.0,8.0,2.0,4.0
2,Argomm  Basket Iseo,30.0,24.0,15.0,9.0,1801.0,1738.0,63.0,9.0,6.0,3.0,6.0
3,Mazzoleni  BT Pizzighettone,28.0,24.0,14.0,10.0,1688.0,1670.0,18.0,7.0,7.0,5.0,5.0
4,Libertas  Cernusco,28.0,24.0,14.0,10.0,1535.0,1534.0,1.0,6.0,8.0,6.0,4.0
5,Virtus  Lumezzane,26.0,24.0,13.0,11.0,1749.0,1730.0,19.0,7.0,6.0,5.0,6.0
6,Evolut  Romano Basket,26.0,24.0,13.0,11.0,1754.0,1694.0,60.0,7.0,6.0,5.0,6.0
7,Pallacanestro  Milano,26.0,24.0,13.0,11.0,1712.0,1698.0,14.0,8.0,5.0,4.0,7.0
8,Pallacanestro Gardonese,22.0,24.0,11.0,13.0,1561.0,1539.0,22.0,6.0,5.0,6.0,7.0
9,CSA Agrate  Brianza,18.0,24.0,9.0,15.0,1575.0,1661.0,-86.0,6.0,3.0,6.0,9.0
10,Sanse  Tedeschi Cremona,16.0,24.0,8.0,16.0,1656.0,1778.0,-122.0,6.0,2.0,6.0,10.0
11,Pallacanestro  Lissone,14.0,24.0,7.0,17.0,1541.0,1676.0,-135.0,2.0,5.0,10.0,7.0
12,Manerbio  Basket,2.0,24.0,1.0,23.0,1446.0,1869.0,-423.0,1.0,0.0,11.0,12.0
