,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,BK Cusano  Milanino,48.0,26.0,24.0,2.0,1855.0,1342.0,513.0,13.0,11.0,0.0,2.0
1,US Dil.  Indipendente,46.0,26.0,23.0,3.0,1777.0,1393.0,384.0,13.0,10.0,0.0,3.0
2,ASD Basket  Brusuglio,40.0,26.0,20.0,6.0,1886.0,1490.0,396.0,12.0,8.0,1.0,5.0
3,Asa  Cinisello Balsamo,38.0,26.0,19.0,7.0,2057.0,1646.0,411.0,10.0,9.0,3.0,4.0
4,GS Bk  Paderno Dugnano,32.0,26.0,16.0,10.0,1704.0,1590.0,114.0,10.0,6.0,3.0,7.0
5,ABC Pall.  Lomazzo,30.0,26.0,15.0,11.0,1576.0,1431.0,145.0,7.0,8.0,6.0,5.0
6,GS  Villaguardia ASD,28.0,26.0,14.0,12.0,1853.0,1709.0,144.0,7.0,7.0,6.0,6.0
7,Pol. Ardor  Bollate,28.0,26.0,14.0,12.0,1691.0,1580.0,111.0,9.0,5.0,4.0,8.0
8,Pallacanestro  Cabiate,22.0,26.0,11.0,15.0,1657.0,1744.0,-87.0,7.0,4.0,6.0,9.0
9,ASD Olimpia Cadorago,18.0,26.0,9.0,17.0,1644.0,1718.0,-74.0,6.0,3.0,7.0,10.0
10,ASD Basket  Tavernerio,16.0,26.0,8.0,18.0,1584.0,1687.0,-103.0,5.0,3.0,8.0,10.0
11,ASD  Playground Team,14.0,26.0,7.0,19.0,1558.0,1692.0,-134.0,4.0,3.0,9.0,10.0
12,AD  Pallacanestro Albavilla,4.0,26.0,2.0,24.0,1550.0,2090.0,-540.0,1.0,1.0,12.0,12.0
13,Giardino  LVS Basket,0.0,26.0,0.0,26.0,1217.0,2497.0,-1280.0,0.0,0.0,13.0,13.0
