,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Pol. Varedo,42.0,26.0,21.0,5.0,1795.0,1463.0,332.0,12.0,9.0,1.0,4.0
1,C.B.B.A ASD  Cologno,34.0,26.0,17.0,9.0,1767.0,1698.0,69.0,10.0,7.0,3.0,6.0
2,Basket  Seregno,32.0,26.0,16.0,10.0,1730.0,1664.0,66.0,10.0,6.0,3.0,7.0
3,Pall.  Master Carate,32.0,26.0,16.0,10.0,1892.0,1665.0,227.0,10.0,6.0,3.0,7.0
4,Cus Milano,32.0,26.0,16.0,10.0,1707.0,1564.0,143.0,8.0,8.0,5.0,5.0
5,Nuova  Argentia Pall. ASD,31.0,26.0,17.0,9.0,1789.0,1650.0,139.0,11.0,6.0,2.0,7.0
6,AS Dil.  Leoniana,28.0,26.0,14.0,12.0,1631.0,1690.0,-59.0,8.0,6.0,5.0,7.0
7,Quartiere  S. Ambrogio,24.0,26.0,12.0,14.0,1763.0,1818.0,-55.0,8.0,4.0,5.0,9.0
8,Show Camp  Basketschool,24.0,26.0,12.0,14.0,1631.0,1658.0,-27.0,6.0,6.0,7.0,7.0
9,Pol.  Bellusco Basket,22.0,26.0,11.0,15.0,1763.0,1813.0,-50.0,6.0,5.0,7.0,8.0
10,ASD Mojazza,20.0,26.0,10.0,16.0,1726.0,1815.0,-89.0,7.0,3.0,6.0,10.0
11,A Dil  Basket Biassono,20.0,26.0,10.0,16.0,1675.0,1785.0,-110.0,5.0,5.0,8.0,8.0
12,S. Pio X  Milano,14.0,26.0,7.0,19.0,1594.0,1754.0,-160.0,4.0,3.0,9.0,10.0
13,GS Dil.  Nino Ronco,6.0,26.0,3.0,23.0,1572.0,1998.0,-426.0,2.0,1.0,11.0,12.0
