,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Benedetto  XIV 2011 Cento,52.0,30.0,26.0,4.0,2353.0,1944.0,409.0,14.0,12.0,1.0,3.0
1,Pallacanestro  Piacentina,42.0,30.0,21.0,9.0,2357.0,2158.0,199.0,14.0,7.0,1.0,8.0
2,Pall.  Vicenza 2012,40.0,30.0,20.0,10.0,2342.0,2281.0,61.0,11.0,9.0,4.0,6.0
3,Pallacanestro  Crema,40.0,30.0,20.0,10.0,2054.0,1985.0,69.0,9.0,11.0,6.0,4.0
4,Raggisolaris  Faenza,38.0,30.0,19.0,11.0,2390.0,2165.0,225.0,13.0,6.0,2.0,9.0
5,Basket  Lecco,36.0,30.0,18.0,12.0,2165.0,2136.0,29.0,12.0,6.0,3.0,9.0
6,Tigers  Forlì,34.0,30.0,17.0,13.0,2165.0,2054.0,111.0,12.0,5.0,3.0,10.0
7,Pall.  Aurora Desio,30.0,30.0,15.0,15.0,2019.0,2049.0,-30.0,10.0,5.0,5.0,10.0
8,Virtus  Basket Padova,28.0,30.0,14.0,16.0,2131.0,2190.0,-59.0,13.0,1.0,2.0,14.0
9,Pall.  Bernareggio 99,24.0,30.0,12.0,18.0,2102.0,2213.0,-111.0,8.0,4.0,7.0,11.0
10,Basket 2000  Reggio Emilia,24.0,30.0,12.0,18.0,2102.0,2127.0,-25.0,7.0,5.0,8.0,10.0
11,Nuova Pall.  Gordon Olginate,24.0,30.0,12.0,18.0,2206.0,2286.0,-80.0,6.0,6.0,9.0,9.0
12,Basket  Rimini Crabs,22.0,30.0,11.0,19.0,2079.0,2204.0,-125.0,8.0,3.0,7.0,12.0
13,Basket Lugo,20.0,30.0,10.0,20.0,2355.0,2466.0,-111.0,7.0,3.0,8.0,12.0
14,Green  Basket Palermo,14.0,30.0,7.0,23.0,1995.0,2339.0,-344.0,7.0,0.0,8.0,15.0
15,Pall. Alto  Sebino,12.0,30.0,6.0,24.0,2034.0,2252.0,-218.0,5.0,1.0,10.0,14.0
