,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Mia Basket Groane,50.0,30.0,25.0,5.0,2334.0,1903.0,431.0,13.0,12.0,2.0,3.0
1,O.S.L. Garbagnate,44.0,30.0,22.0,8.0,2319.0,2016.0,303.0,10.0,12.0,5.0,3.0
2,BK Cassano Magnago,40.0,30.0,20.0,10.0,2293.0,2172.0,121.0,11.0,9.0,4.0,6.0
3,Cistellum Cislago,40.0,30.0,20.0,10.0,2134.0,2044.0,90.0,9.0,11.0,6.0,4.0
4,Virtus Cermenate,40.0,30.0,20.0,10.0,2193.0,1974.0,219.0,8.0,12.0,7.0,3.0
5,Pol. Lierna,38.0,30.0,19.0,11.0,2053.0,1939.0,114.0,10.0,9.0,5.0,6.0
6,BKBall Gallarate,38.0,30.0,19.0,11.0,2241.0,2092.0,149.0,13.0,6.0,2.0,9.0
7,G.S. Casoratese,36.0,30.0,18.0,12.0,2338.0,2304.0,34.0,9.0,9.0,6.0,6.0
8,BK Bosto Varese,36.0,30.0,18.0,12.0,2193.0,2120.0,73.0,10.0,8.0,5.0,7.0
9,Pall. Cerro Maggiore,34.0,30.0,17.0,13.0,2106.0,2051.0,55.0,7.0,10.0,8.0,5.0
10,Basket Rovello,32.0,30.0,16.0,14.0,2025.0,2042.0,-17.0,9.0,7.0,6.0,8.0
11,Sportlandia Tradate,18.0,30.0,9.0,21.0,2190.0,2333.0,-143.0,5.0,4.0,10.0,11.0
12,Pall. Verbano Luino,12.0,30.0,6.0,24.0,1927.0,2254.0,-327.0,5.0,1.0,10.0,14.0
13,Pol. Ardor Bollate,10.0,30.0,5.0,25.0,1973.0,2282.0,-309.0,3.0,2.0,12.0,13.0
14,Olimpia Cadorago,8.0,30.0,4.0,26.0,1986.0,2300.0,-314.0,3.0,1.0,12.0,14.0
15,Basket Seregno,4.0,30.0,2.0,28.0,1831.0,2310.0,-479.0,1.0,1.0,14.0,14.0
