,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Virtus Lumezzane,52.0,30.0,26,4,2288.0,1977.0,311.0,15.0,11.0,0.0,4.0
1,CMPi  Pizzighettone,52.0,30.0,26,4,2267.0,1820.0,447.0,14.0,12.0,1.0,3.0
2,G.S.A. Basket Sarezzo,42.0,30.0,21,9,2149.0,2030.0,119.0,12.0,9.0,3.0,6.0
3,Viadana Basket,38.0,30.0,19,11,2026.0,1886.0,140.0,11.0,8.0,4.0,7.0
4,Fortitudo Busnago,36.0,30.0,18,12,1856.0,1802.0,54.0,12.0,6.0,3.0,9.0
5,Sansebasket Cremona,34.0,30.0,17,13,2015.0,1964.0,51.0,10.0,7.0,5.0,8.0
6,Pall. Asola,34.0,30.0,17,13,2112.0,2060.0,52.0,10.0,7.0,5.0,8.0
7,Romano Lombardo BK,30.0,30.0,15,15,2084.0,2112.0,-28.0,10.0,5.0,5.0,10.0
8,Lic Verolanuova,30.0,30.0,15,15,2045.0,2107.0,-62.0,9.0,6.0,6.0,9.0
9,Seriana Alzano,26.0,30.0,13,17,2009.0,1975.0,34.0,8.0,5.0,7.0,10.0
10,XXL Bergamo Basket,26.0,30.0,13,17,2024.0,2096.0,-72.0,10.0,3.0,5.0,12.0
11,Bellini Gorle,24.0,30.0,12,18,1980.0,2070.0,-90.0,10.0,2.0,5.0,13.0
12,CSA Agrate Brianza,19.0,30.0,"9,5","20,5",1835.0,1972.0,-137.0,7.0,3.0,8.0,12.0
13,Blu Orobica Bergamo,18.0,30.0,9,21,2026.0,2216.0,-190.0,6.0,3.0,9.0,12.0
14,NBB Brescia,16.0,30.0,8,22,1903.0,2096.0,-193.0,6.0,2.0,9.0,13.0
15,Di.Po. Vimercate,2.0,30.0,1,29,1779.0,2215.0,-436.0,1.0,0.0,14.0,15.0
