,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Nuova Pall. Vigevano,54.0,30.0,27.0,3.0,2294.0,1942.0,352.0,13.0,14.0,2.0,1.0
1,Pall. Lungavilla,52.0,30.0,26.0,4.0,2306.0,1866.0,440.0,14.0,12.0,1.0,3.0
2,N.Olympia Voghera,46.0,30.0,23.0,7.0,2317.0,1892.0,425.0,14.0,9.0,1.0,6.0
3,Aironi Pall. Robbio,44.0,30.0,22.0,8.0,2325.0,2144.0,181.0,13.0,9.0,2.0,6.0
4,AS Dil Lesmo 2004,40.0,30.0,20.0,10.0,2336.0,2181.0,155.0,12.0,8.0,3.0,7.0
5,Posal Sesto,36.0,30.0,18.0,12.0,2146.0,2039.0,107.0,11.0,7.0,4.0,8.0
6,Ebro Basket Milano,34.0,30.0,17.0,13.0,2026.0,2000.0,26.0,10.0,7.0,5.0,8.0
7,Libertas Cernusco,32.0,30.0,16.0,14.0,1913.0,1932.0,-19.0,8.0,8.0,7.0,7.0
8,Pall. Milano,30.0,30.0,15.0,15.0,2124.0,2112.0,12.0,9.0,6.0,6.0,9.0
9,Sant'Ambrogio Milano,20.0,30.0,10.0,20.0,1869.0,2091.0,-222.0,8.0,2.0,7.0,13.0
10,Basketown Milano,18.0,30.0,9.0,21.0,1823.0,1997.0,-174.0,6.0,3.0,9.0,12.0
11,Social Osa Milano,18.0,30.0,9.0,21.0,1941.0,2042.0,-101.0,7.0,2.0,8.0,13.0
12,Soul Basket Milano,18.0,30.0,9.0,21.0,1964.0,2150.0,-186.0,6.0,3.0,9.0,12.0
13,Virtus Gambolò,16.0,30.0,8.0,22.0,2024.0,2227.0,-203.0,6.0,2.0,9.0,13.0
14,Pall.S.Pio Milano,12.0,30.0,6.0,24.0,1925.0,2320.0,-395.0,4.0,2.0,11.0,13.0
15,CSC BK Cusano,10.0,30.0,5.0,25.0,1721.0,2119.0,-398.0,1.0,4.0,14.0,11.0
