n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
1,Terzaghi Manuel,BK 7 Laghi Gazzada,A,546,28,"19,50",92.0
2,Moreno Maxmiliano,Goodbook Manerbio,P,525,27,"19,44",81.0
3,Bassani Andrea,Carpe Diem Calolziocorte,A/C,522,28,"18,64",89.0
4,Rondena Federico,USD Nervianese,P/G,476,26,"18,31",81.0
5,Casati Simone,Nuova Pall. Olginate,G,465,28,"16,61",91.0
6,Ballarate Matteo,Apl Lissone,G/A,435,27,"16,11",89.0
7,Saccà Roberto,Opera Basket Club,G,430,27,"15,93",87.0
8,De Piccoli Ezio,Robur BK Saronno,A,392,28,"14,00",74.0
9,Riva Ivan,Nuova Pall. Olginate,A,390,25,"15,60",83.0
10,Olivieri Simone,Gsd Corona Platina,C,383,28,"13,68",92.0
11,Colombo Marco,ASD Milano Tre,A,382,26,"14,69",89.0
12,Corno Alessandro,Robur BK Saronno,G/A,377,28,"13,46",92.0
13,Cacciani Stefano,Apl Lissone,A/C,369,27,"13,67",84.0
14,Gurioli Alessandro,Robur BK Saronno,A,367,25,"14,68",87.0
15,Acquaviva Alessandro,Argomm Iseo,G/A,357,26,"13,73",92.0
16,Lorenzetti Antonio,Argomm Iseo,A,356,28,"12,71",95.0
17,Giocondo Giuseppe,ASD Milano Tre,G,355,27,"13,15",89.0
18,Ndiaye Ababacar,Goodbook Manerbio,A,353,27,"13,07",90.0
19,Clerici Matteo,Copert. Baj Arcisate,A/C,352,25,"14,08",92.0
20,Corbetta Pierpaolo,Carpe Diem Calolziocorte,A/C,348,28,"12,43",84.0
21,Fusella Pietro,Opera Basket Club,C,347,27,"12,85",89.0
22,Baroni Mattia,Pall. Bernareggio,G/A,347,28,"12,39",87.0
23,Furlanis Guglielmo,Pall. Bernareggio,P/G,341,27,"12,63",86.0
24,Iacono Michael,ASD Milano Tre,P,340,26,"13,08",87.0
25,Passerini Federico,BK 7 Laghi Gazzada,P/G,340,28,"12,14",93.0
26,Savazzi Diego,Goodbook Manerbio,G,338,26,"13,00",76.0
27,Prestini Gianluigi,Argomm Iseo,A/C,337,28,"12,04",89.0
28,Bellotti Luca,Copert. Baj Arcisate,P,327,25,"13,08",93.0
