,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,BK 7 Laghi Gazzada,44.0,28.0,22.0,6.0,2152.0,1944.0,208.0,12.0,10.0,2.0,4.0
1,Robur BK Saronno,42.0,28.0,21.0,7.0,2127.0,1938.0,189.0,10.0,11.0,4.0,3.0
2,Apl Lissone,38.0,28.0,19.0,9.0,2034.0,1875.0,159.0,9.0,10.0,5.0,4.0
3,Goodbook Manerbio,36.0,28.0,18.0,10.0,2095.0,2064.0,31.0,11.0,7.0,3.0,7.0
4,Argomm Iseo,34.0,28.0,17.0,11.0,2131.0,2009.0,122.0,9.0,8.0,5.0,6.0
5,ASD Milano Tre,34.0,28.0,17.0,11.0,1936.0,1844.0,92.0,12.0,5.0,2.0,9.0
6,Opera Basket Club,30.0,28.0,15.0,13.0,2025.0,2099.0,-74.0,8.0,7.0,6.0,7.0
7,Carpe Diem Calolziocorte,28.0,28.0,14.0,14.0,2157.0,2099.0,58.0,9.0,5.0,5.0,9.0
8,Pall. Bernareggio,26.0,28.0,13.0,15.0,2039.0,2015.0,24.0,5.0,8.0,9.0,6.0
9,Gsd Corona Platina,24.0,28.0,12.0,16.0,2041.0,2075.0,-34.0,6.0,6.0,8.0,8.0
10,Nuova Pall. Olginate,24.0,28.0,12.0,16.0,1924.0,1980.0,-56.0,8.0,4.0,6.0,10.0
11,Sport. Boffalorese,18.0,28.0,9.0,19.0,1843.0,2002.0,-159.0,5.0,4.0,9.0,10.0
12,Copert. Baj Arcisate,18.0,28.0,9.0,19.0,1981.0,2104.0,-123.0,6.0,3.0,8.0,11.0
13,USD Nervianese,16.0,28.0,8.0,20.0,1935.0,2131.0,-196.0,5.0,3.0,9.0,11.0
14,Team ABC Cantu,8.0,28.0,4.0,24.0,1869.0,2110.0,-241.0,3.0,1.0,11.0,13.0
