,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Pall. Castronno,48.0,28.0,24.0,4.0,2072.0,1782.0,290.0,13.0,11.0,1.0,3.0
1,Nelson Somma Lombardo,46.0,28.0,23.0,5.0,2017.0,1769.0,248.0,12.0,11.0,2.0,3.0
2,Pol. Daverio,42.0,28.0,21.0,7.0,1933.0,1633.0,300.0,12.0,9.0,2.0,5.0
3,BK School Corbetta,40.0,28.0,20.0,8.0,2133.0,1783.0,350.0,11.0,9.0,3.0,5.0
4,Virtus Olona,40.0,28.0,20.0,8.0,1917.0,1739.0,178.0,13.0,7.0,1.0,7.0
5,Orma Malnate,34.0,28.0,17.0,11.0,1851.0,1653.0,198.0,10.0,7.0,4.0,7.0
6,Basket Legnano 91,28.0,28.0,14.0,14.0,1748.0,1814.0,-66.0,8.0,6.0,6.0,8.0
7,US Marnatese BK,26.0,28.0,13.0,15.0,1801.0,1782.0,19.0,7.0,6.0,7.0,8.0
8,Ardens Sedriano,24.0,28.0,12.0,16.0,1735.0,1880.0,-145.0,6.0,6.0,8.0,8.0
9,Baskettiamo Vittuone,24.0,28.0,12.0,16.0,1742.0,1788.0,-46.0,7.0,5.0,7.0,9.0
10,Campus Varese,18.0,28.0,9.0,19.0,1768.0,1920.0,-152.0,4.0,5.0,10.0,9.0
11,BC Arlunese,16.0,28.0,8.0,20.0,1930.0,2165.0,-235.0,4.0,4.0,10.0,10.0
12,ASD Montello,16.0,28.0,8.0,20.0,1678.0,1925.0,-247.0,5.0,3.0,9.0,11.0
13,Pall. Busto Arsizio,10.0,28.0,5.0,23.0,1736.0,2131.0,-395.0,1.0,4.0,13.0,10.0
14,Basket Venegono,8.0,28.0,4.0,24.0,1843.0,2140.0,-297.0,3.0,1.0,11.0,13.0
