,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,New Basket Prevalle,54.0,30.0,27.0,3.0,2450.0,1893.0,557.0,15.0,12.0,0.0,3.0
1,MI.GA.L.  Gardonese,44.0,30.0,22.0,8.0,2190.0,1851.0,339.0,14.0,8.0,1.0,7.0
2,Ombriano Basket,44.0,30.0,22.0,8.0,2130.0,2084.0,46.0,13.0,9.0,2.0,6.0
3,Pall. Quistello,40.0,30.0,20.0,10.0,2322.0,2081.0,241.0,13.0,7.0,2.0,8.0
4,BK Casalmaggiore,38.0,30.0,19.0,11.0,2163.0,1928.0,235.0,13.0,6.0,2.0,9.0
5,Basket Ome 01,32.0,30.0,16.0,14.0,2207.0,2182.0,25.0,10.0,6.0,5.0,9.0
6,San Pio X Mantova,30.0,30.0,15.0,15.0,1892.0,1931.0,-39.0,10.0,5.0,5.0,10.0
7,Olimpia Basket Castelcovati,28.0,30.0,14.0,16.0,1965.0,2097.0,-132.0,9.0,5.0,6.0,10.0
8,Basket Bancole,28.0,30.0,14.0,16.0,2288.0,2349.0,-61.0,7.0,7.0,8.0,8.0
9,Tazio Magni Gussola,26.0,30.0,13.0,17.0,2055.0,2134.0,-79.0,8.0,5.0,7.0,10.0
10,Basket Chiari,26.0,30.0,13.0,17.0,2217.0,2291.0,-74.0,8.0,5.0,7.0,10.0
11,Virtus Desenzano,24.0,30.0,12.0,18.0,1999.0,2204.0,-205.0,9.0,3.0,6.0,12.0
12,Pontevico Basket,20.0,30.0,10.0,20.0,1953.0,2124.0,-171.0,5.0,5.0,10.0,10.0
13,Basket Sustinente,20.0,30.0,10.0,20.0,2034.0,2160.0,-126.0,6.0,4.0,9.0,11.0
14,Pall. Castegnato,14.0,30.0,7.0,23.0,1847.0,2125.0,-278.0,2.0,5.0,13.0,10.0
15,Gilbertina Soresina,12.0,30.0,6.0,24.0,1935.0,2213.0,-278.0,4.0,2.0,11.0,13.0
