,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,AS Dil. Morbegno,54.0,30.0,27.0,3.0,2037.0,1623.0,414.0,15.0,12.0,0.0,3.0
1,Rhinos Robbiate,46.0,30.0,23.0,7.0,2079.0,1854.0,225.0,13.0,10.0,2.0,5.0
2,Basket Tavernerio,46.0,30.0,23.0,7.0,1901.0,1648.0,253.0,14.0,9.0,1.0,6.0
3,ABC Pall. Lomazzo,44.0,30.0,22.0,8.0,2007.0,1751.0,256.0,10.0,12.0,5.0,3.0
4,Casa Gioventù Erba,44.0,30.0,22.0,8.0,2076.0,1785.0,291.0,13.0,9.0,2.0,6.0
5,Virtus Meda,38.0,30.0,19.0,11.0,2045.0,1911.0,134.0,11.0,8.0,4.0,7.0
6,Centro BK Pescate,34.0,30.0,17.0,13.0,2090.0,2035.0,55.0,10.0,7.0,5.0,8.0
7,Pall. Figino,30.0,30.0,15.0,15.0,1812.0,1858.0,-46.0,9.0,6.0,6.0,9.0
8,Basket Club Tirano,28.0,30.0,14.0,16.0,2011.0,2062.0,-51.0,10.0,4.0,5.0,11.0
9,Sportiva Sondrio,26.0,30.0,13.0,17.0,1954.0,2007.0,-53.0,7.0,6.0,8.0,9.0
10,Giardino LVS Basket Orsenigo,24.0,30.0,12.0,18.0,1785.0,1915.0,-130.0,7.0,5.0,8.0,10.0
11,Pol. Ars Rovagnate,22.0,30.0,11.0,19.0,1902.0,2046.0,-144.0,5.0,6.0,10.0,9.0
12,S.Ambrogio Mariano,18.0,30.0,9.0,21.0,1710.0,1927.0,-217.0,5.0,4.0,10.0,11.0
13,Polisportiva Senna,14.0,30.0,7.0,23.0,1787.0,2033.0,-246.0,4.0,3.0,11.0,12.0
14,Pol. Mandello Lario,6.0,30.0,3.0,27.0,1824.0,2154.0,-330.0,2.0,1.0,13.0,14.0
15,Pall. Como,6.0,30.0,3.0,27.0,1834.0,2245.0,-411.0,2.0,1.0,13.0,14.0
