n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
1,Gatti Simone,BC Arlunese,A/C,485,28,"17,32",94.0
2,Moalli Dario,Nelson Somma Lombardo,A/C,389,27,"14,41",91.0
3,Vanoli Davide,US Marnatese BK,,375,27,"13,89",
4,Pellegrini Daniele ,Pol. Daverio,G/A,357,28,"12,75",86.0
5,Borsani D.,Pall. Busto Arsizio,,354,26,"13,62",
6,Riva Giacomo,Basket Venegono,A/C,350,22,"15,91",77.0
7,Binda Matteo,Pall. Castronno,A,344,26,"13,23",87.0
8,Montalbetti Matteo ,Nelson Somma Lombardo,C,343,27,"12,70",90.0
9,Colombini Paolo,BC Arlunese,G,337,27,"12,48",94.0
10,Leo Luca,Pall. Castronno,A,330,19,"17,37",77.0
11,Bernasconi Pietro,ASD Montello,G,319,25,"12,76",95.0
12,Chiesa Elia,Orma Malnate,,313,28,"11,18",
13,Galimberti Cesare,BC Arlunese,P,300,26,"11,54",87.0
14,Portaluppi Niccolò,Baskettiamo Vittuone,G/A,297,22,"13,50",
15,Dalle Ave Simone,Orma Malnate,G/A,294,24,"12,25",
16,Cattalani Andrea ,Campus Varese,P,293,25,"11,72",96.0
17,Intravia Daniele ,Virtus Olona,G/A,288,27,"10,67",89.0
18,Tacchini Eric,Virtus Olona,A,287,16,"17,94",92.0
19,Lesica Nicola,Pol. Daverio,G,281,28,"10,04",94.0
20,Maiocchi Mattia ,BK School Corbetta,G/A,275,23,"11,96",
21,Tannoia Riccardo,Baskettiamo Vittuone,P,274,19,"14,42",
22,Maruca Matteo,Campus Varese,A,270,20,"13,50",97.0
23,Galli S.,Pall. Busto Arsizio,,264,20,"13,20",
24,Varliero Riccardo ,BK School Corbetta,A/C,264,23,"11,48",89.0
25,Riva Francesco,Basket Venegono,A/C,262,18,"14,56",79.0
26,Mancuso Fabio,Orma Malnate,A,256,28,"9,14",
27,Brugnoli Matteo,BC Arlunese,P/G,255,28,"9,11",91.0
28,Pizzala Davide,BK School Corbetta,G/A,254,22,"11,55",96.0
29,Ferioli Davide,Nelson Somma Lombardo,P,253,25,"10,12",89.0
30,Re Depaolini Davide,US Marnatese BK,A/C,248,28,"8,86",88.0
31,Nalesso Filippo,Nelson Somma Lombardo,,240,25,"9,60",
32,Corsaro Gioele,Campus Varese,G,238,22,"10,82",96.0
33,Lucarelli Cristiano,Orma Malnate,,234,22,"10,64",
34,Zecchillo Simone ,Pol. Daverio,P/G,228,27,"8,44",94.0
35,Diakhate Ibu,Virtus Olona,A,226,25,"9,04",86.0
36,Favretto Lorenzo,ASD Montello,C,224,22,"10,18",88.0
37,Palladini Alessio ,Virtus Olona,A,219,25,"8,76",89.0
38,Cantarelli Davide ,Basket Venegono,G/A,215,22,"9,77",91.0
39,Tosi F.,Pall. Busto Arsizio,,214,22,"9,73",
40,Busana Omar,Pol. Daverio,P,213,28,"7,61",87.0
41,Tonella Roberto,BK School Corbetta,G/A,211,23,"9,17",95.0
42,Cagner Marco,BK School Corbetta,A,208,21,"9,90",91.0
43,Caprioli Mirko,Virtus Olona,G,207,27,"7,67",90.0
44,Parravicini Fabio ,US Marnatese BK,G,204,27,"7,56",83.0
45,Marini Paolo,Pall. Castronno,P/G,203,23,"8,83",77.0
46,Caccianiga Stefano ,Pol. Daverio,G/A,199,28,"7,11",94.0
47,Di Giovanni Stefano,Baskettiamo Vittuone,P/G,198,14,"14,14",
48,Santinon Marco,Pall. Castronno,C,198,22,"9,00",80.0
49,Dello Nigro Andrea ,Virtus Olona,P,198,25,"7,92",87.0
