n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
1,Azzimonti Edoardo ,G.S. Casoratese,C,595,30,"19,83",88.0
2,Allegri Alessio ,O.S.L. Garbagnate,G/A,576,30,"19,20",82.0
3,Ciardello Luca,BKBall Gallarate,G,495,30,"16,50",84.0
4,Cattaneo Andrea ,Cistellum Cislago,A,483,30,"16,10",89.0
5,Arui Alessandro,O.S.L. Garbagnate,P/G,482,30,"16,07",91.0
6,Lombardi Paolo,BK Bosto Varese,P/G,480,26,"18,46",80.0
7,Corona Navarro Rob.,G.S. Casoratese,G,452,28,"16,14",91.0
8,Grampa Matteo,Virtus Cermenate,P,447,30,"14,90",91.0
9,Bianchi Stefano ,BKBall Gallarate,P,442,30,"14,73",94.0
10,Gianotti Davide,Basket Seregno,G/A,437,28,"15,61",90.0
11,Bernasconi Andrea,Sportlandia Tradate,C,416,28,"14,86",84.0
12,Roppo Simone,Cistellum Cislago,G,411,27,"15,22",89.0
13,Pagani Davide,Mia Basket Groane,P,391,29,"13,48",87.0
14,Pozzi Dario,Pol. Lierna,G,380,30,"12,67",86.0
15,Mapelli Giorgio ,BK Cassano Magnago,A,374,26,"14,38",78.0
16,Pifferi Cesare,Mia Basket Groane,A,371,29,"12,79",84.0
17,Tonella Simone,O.S.L. Garbagnate,P/G,367,30,"12,23",88.0
18,Molteni Marco,Pol. Lierna,A/C,365,26,"14,04",83.0
19,Preatoni Vittorio ,G.S. Casoratese,A,364,29,"12,55",92.0
20,De Tomasi Alessandro ,Pall. Cerro Maggiore,A/C,362,29,"12,48",80.0
21,Pariani Marcello,BKBall Gallarate,C,349,30,"11,63",90.0
22,Longhena Romei Giovanni,Pol. Ardor Bollate,G,348,30,"11,60",94.0
23,Fontanel Fulvio,BK Bosto Varese,C,343,26,"13,19",70.0
24,Pedalà Federico,Pol. Lierna,A,342,30,"11,40",90.0
25,Zocchi Paolo,Pall. Cerro Maggiore,A/C,330,30,"11,00",82.0
26,Munafò Thomas,Mia Basket Groane,P/G,327,26,"12,58",84.0
27,Visini Matteo,Mia Basket Groane,A,325,29,"11,21",88.0
28,Presentazi Andrea ,BK Bosto Varese,A,325,29,"11,21",92.0
29,Fogato Francesco ,Sportlandia Tradate,P,324,28,"11,57",88.0
30,Moscatelli Simone,Olimpia Cadorago,C,310,19,"16,32",78.0
31,Bergna Luca,Pol. Lierna,A/C,306,28,"10,93",82.0
32,Palazzi Niccolò,Pall. Verbano Luino,P,304,30,"10,13",92.0
33,Laudi Andrea,BK Cassano Magnago,A,302,28,"10,79",79.0
34,Beretta Giorgio,BK Cassano Magnago,A,302,28,"10,79",84.0
35,Broggi Mattia,Virtus Cermenate,P,298,30,"9,93",92.0
36,Brivio Andrea,Sportlandia Tradate,A,294,28,"10,50",88.0
37,De Lucia Federico ,Pall. Cerro Maggiore,C,292,25,"11,68",89.0
38,Ferrario Alessanfro,G.S. Casoratese,A/C,287,28,"10,25",89.0
39,Marranzano Giorgio ,Pall. Cerro Maggiore,G/A,282,29,"9,72",80.0
40,Marzorati Luca,Sportlandia Tradate,G/A,277,27,"10,26",87.0
41,Poggiolini Riccardo ,BK Cassano Magnago,P/G,275,25,"11,00",86.0
42,Bisognin Stefano,BK Bosto Varese,A/C,275,30,"9,17",92.0
43,Mangiapane Fabio ,O.S.L. Garbagnate,G,269,26,"10,35",86.0
44,Parietti Matteo ,Cistellum Cislago,P,268,18,"14,89",91.0
45,Gardini Andrea,Pall. Verbano Luino,A,268,29,"9,24",94.0
46,Eriforio Luca,Cistellum Cislago,G,267,29,"9,21",91.0
47,Bottinelli Luca,Basket Rovello,A,263,28,"9,39",89.0
48,Binaghi Gabriele,Pol. Ardor Bollate,A/C,258,30,"8,60",79.0
49,Picotti Stefano ,BKBall Gallarate,P,258,30,"8,60",89.0
50,Bianchi Antonio,BK Cassano Magnago,G,257,19,"13,53",85.0
51,Carpani Silvio,Pol. Lierna,G/A,256,29,"8,83",89.0
52,Lanzi Lorenzo,Basket Rovello,P,252,27,"9,33",92.0
53,Villa Lorenzo,Pol. Ardor Bollate,G,246,27,"9,11",84.0
54,Scarioni Stefano,Olimpia Cadorago,G,246,27,"9,11",92.0
55,Gubbitta Mattia,Pall. Verbano Luino,A,246,28,"8,79",82.0
56,Bacuzzi Valerio,Olimpia Cadorago,C,235,29,"8,10",91.0
57,Smaniotto Simone,Pol. Lierna,P,235,30,"7,83",91.0
58,Longoni Alessandro,Virtus Cermenate,A,233,30,"7,77",95.0
59,Biason Marco,Pall. Verbano Luino,A/C,231,28,"8,25",83.0
60,Danesi Emanuele,Pol. Ardor Bollate,G/A,230,26,"8,85",91.0
61,Turconi Matteo,Sportlandia Tradate,G/A,230,29,"7,93",80.0
62,Silva Marco,Basket Seregno,G/A,229,26,"8,81",91.0
63,Meroni Marco,Virtus Cermenate,C,229,30,"7,63",93.0
64,Bonvino Matteo,Virtus Cermenate,A,228,30,"7,60",95.0
65,Terraneo Davide,Basket Rovello,P/G,226,26,"8,69",83.0
66,Anselmi Andrea,Sportlandia Tradate,G,224,27,"8,30",82.0
67,Del Pero Gabriele,Basket Rovello,P,223,28,"7,96",94.0
68,Grillo Fabio,Pall. Cerro Maggiore,P/G,222,23,"9,65",89.0
69,Saibene Nicolò,Cistellum Cislago,G,219,30,"7,30",93.0
70,Tocchella Diego ,BK Bosto Varese,G/A,218,29,"7,52",82.0
71,Bini Lorenzo,BK Cassano Magnago,G,217,26,"8,35",79.0
72,Cogliati Stefano,G.S. Casoratese,P,214,29,"7,38",92.0
73,Zacchello Paolo ,Pall. Cerro Maggiore,A,214,30,"7,13",79.0
74,Casati Mattia,Basket Seregno,A,204,28,"7,29",80.0
75,Barbisan Massimo,Basket Rovello,A,194,27,"7,19",93.0
76,Puricelli Daniele ,BKBall Gallarate,A,190,26,"7,31",94.0
77,Novati Marco,Mia Basket Groane,A,186,29,"6,41",94.0
