n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
1,Caramatti Renè,Virtus Lumezzane,G/A,565,30,"18,83",90.0
2,Accini Denis,Sansebasket Cremona,G,516,29,"17,79",86.0
3,Bossini Thomas,Virtus Lumezzane,G/A,512,30,"17,07",85.0
4,Pedrini Simone,CMPi  Pizzighettone,A/C,506,30,"16,87",86.0
5,Marelli Davide,G.S.A. Basket Sarezzo,A,479,28,"17,11",91.0
6,Pairone Nicolas ,CMPi  Pizzighettone,A,462,30,"15,40",87.0
7,Deme Mambaye Diallo ,Lic Verolanuova,A/C,447,30,"14,90",93.0
8,Altimani Davide,Viadana Basket,A,431,27,"15,96",90.0
9,Benassi Andrea ,Seriana Alzano,G,430,22,"19,55",82.0
10,Pesenti Marco,G.S.A. Basket Sarezzo,G,427,29,"14,72",83.0
11,Mason Jacopo,NBB Brescia,P/G,408,30,"13,60",93.0
12,Corona Cristian ,Pall. Asola,C,396,29,"13,66",80.0
13,Crepaz Matteo,Lic Verolanuova,G,394,30,"13,13",89.0
14,Raimondi Mauro,Romano Lombardo BK,G,391,30,"13,03",88.0
15,Grazzi Andrea,Viadana Basket,A,390,27,"14,44",81.0
16,Filippi Michele,Seriana Alzano,G,351,30,"11,70",81.0
17,Salvini Alessandro ,Lic Verolanuova,G,348,29,"12,00",84.0
18,Albani Angelo Mario,Romano Lombardo BK,C,348,30,"11,60",80.0
19,Lanfredi Stefano ,Pall. Asola,P,348,30,"11,60",86.0
20,Sartora Marco,Virtus Lumezzane,A,331,30,"11,03",91.0
21,Vacchelli Elvis,Pall. Asola,P,330,30,"11,00",90.0
22,Mora Marco,XXL Bergamo Basket,A,321,30,"10,70",85.0
23,Silva Bruno,Blu Orobica Bergamo,G,320,25,"12,80",96.0
24,Casali Luca,CMPi  Pizzighettone,G,316,29,"10,90",92.0
25,Pasini Valentino ,Pall. Asola,G/A,313,30,"10,43",86.0
26,Galbiati Alberto ,XXL Bergamo Basket,A,312,26,"12,00",85.0
27,Benadduce Riccardo,Bellini Gorle,C,308,30,"10,27",82.0
28,Brioschi Stefano,Fortitudo Busnago,P/G,304,25,"12,16",93.0
29,Santinelli Matteo,Bellini Gorle,G,286,29,"9,86",96.0
30,Marelli Sandro,G.S.A. Basket Sarezzo,P/G,284,29,"9,79",91.0
31,Signorelli Michele,Bellini Gorle,P/G,283,29,"9,76",89.0
32,Gjinaj Andrea,Sansebasket Cremona,C,281,24,"11,71",86.0
33,Colombo Andrea,Di.Po. Vimercate,P,278,28,"9,93",89.0
34,Verzellesi Nicola,Viadana Basket,G,277,28,"9,89",89.0
35,Tontini Antonio ,Bellini Gorle,G,276,27,"10,22",87.0
36,Caffi Mauro,XXL Bergamo Basket,P,273,29,"9,41",78.0
37,Fagiuoli Matteo,Romano Lombardo BK,G,264,30,"8,80",92.0
38,Tremolada Stefano,Di.Po. Vimercate,A,263,28,"9,39",89.0
39,Bonacina Matteo,Fortitudo Busnago,A/C,261,27,"9,67",89.0
40,Mazzoleni Pietro,Fortitudo Busnago,A,261,28,"9,32",82.0
41,Borghi Gianluigi,CSA Agrate Brianza,A,260,27,"9,63",82.0
42,Parsani Mattia,XXL Bergamo Basket,G,255,30,"8,50",88.0
43,Prettato Cristian ,Bellini Gorle,A,255,30,"8,50",82.0
44,Pasqualin Marco,Blu Orobica Bergamo,P/G,254,23,"11,04",97.0
45,Semoli Teobaldo,Di.Po. Vimercate,G,254,28,"9,07",86.0
46,Comerio Alessandro ,Seriana Alzano,P/G,251,20,"12,55",93.0
47,Agostini Stefano ,G.S.A. Basket Sarezzo,A,247,26,"9,50",78.0
48,Galbarini Marco ,Sansebasket Cremona,P,241,29,"8,31",85.0
49,Roberti Marco,CMPi  Pizzighettone,P,240,30,"8,00",85.0
50,Trovati Matteo,Sansebasket Cremona,A,239,16,"14,94",91.0
51,Armanni Marco,Romano Lombardo BK,P,238,30,"7,93",84.0
52,Beretta Eugenio,Blu Orobica Bergamo,C,235,24,"9,79",96.0
53,Simeoni Lorenzo,Viadana Basket,C,235,28,"8,39",87.0
54,Orlandi Matteo,Seriana Alzano,P/G,235,28,"8,39",93.0
55,Locatelli Marco,XXL Bergamo Basket,A/C,231,29,"7,97",85.0
56,Simoncini Daniele ,NBB Brescia,P/G,229,16,"14,31",93.0
57,Cozzi Mirko,Romano Lombardo BK,A,227,26,"8,73",81.0
58,Candela Simone,G.S.A. Basket Sarezzo,A,227,29,"7,83",87.0
59,Gualandris Luca ,Romano Lombardo BK,G,227,29,"7,83",84.0
60,Ferri Andrea,Blu Orobica Bergamo,G,227,30,"7,57",96.0
61,Buzzini Roberto,Fortitudo Busnago,P,214,21,"10,19",95.0
62,Turner Liki Lamont,Bellini Gorle,A,213,11,"19,36",89.0
63,Mussoni Alessandro,Lic Verolanuova,C,212,30,"7,07",86.0
64,Houmane Saad Ben,G.S.A. Basket Sarezzo,G/A,207,29,"7,14",92.0
65,Montagnosi Luca ,XXL Bergamo Basket,P/G,204,20,"10,20",88.0
66,Moretti Mattia,Sansebasket Cremona,C,203,27,"7,52",93.0
67,Bassi Leonardo,Blu Orobica Bergamo,A,202,24,"8,42",97.0
68,Permon Pietro,Blu Orobica Bergamo,G,202,27,"7,48",96.0
69,De Guzman Mike,Virtus Lumezzane,P/G,194,30,"6,47",93.0
70,Stagnati Gabriele,Pall. Asola,A/C,194,30,"6,47",92.0
71,Toffetti Alessandro ,CSA Agrate Brianza,G,193,28,"6,89",81.0
72,Colombo Ruggero,Seriana Alzano,A/C,185,29,"6,38",87.0
73,Ciocca Pierluigi,CSA Agrate Brianza,A/C,183,27,"6,78",79.0
74,Bertini Luca,NBB Brescia,P/G,181,24,"7,54",92.0
75,Barzaghi Saul,CSA Agrate Brianza,A/C,178,22,"8,09",77.0
76,Prati Alberto,Viadana Basket,C,178,26,"6,85",94.0
77,Boccafurni Eugenio,Bellini Gorle,A,177,26,"6,81",97.0
78,Cipelletti Luca ,CMPi  Pizzighettone,P,177,30,"5,90",90.0
79,Comparelli Pablo ,CMPi  Pizzighettone,A,173,25,"6,92",81.0
80,Battistini Leonardo,NBB Brescia,A,171,10,"17,10",95.0
81,Franzosi Davide ,Pall. Asola,G,171,29,"5,90",94.0
82,Perdon Daniele,Di.Po. Vimercate,A,169,30,"5,63",95.0
83,Veronesi Filippo,Virtus Lumezzane,A,169,30,"5,63",95.0
84,Daminelli Marco ,CSA Agrate Brianza,P,168,21,"8,00",90.0
85,Gibellini Nicola ,Seriana Alzano,G,166,29,"5,72",91.0
86,Rota Riccardo,CSA Agrate Brianza,G,164,28,"5,86",88.0
87,Bonomi Alessandro,Fortitudo Busnago,A,162,25,"6,48",93.0
88,Pezzali Alessandro,NBB Brescia,P,160,25,"6,40",97.0
89,Borghetti Marco,Virtus Lumezzane,P/G,160,30,"5,33",96.0
90,Carzaniga Tommaso,Di.Po. Vimercate,G,159,19,"8,37",93.0
91,Carrera Alessandro,Romano Lombardo BK,P/G,156,17,"9,18",87.0
92,Danelli Giovanni,Fortitudo Busnago,G/A,154,27,"5,70",95.0
93,Rakic Nemanja,NBB Brescia,P/G,152,28,"5,43",96.0
94,Biffi Matteo,Fortitudo Busnago,P/G,151,22,"6,86",83.0
95,Bertuzzi Corrado ,CMPi  Pizzighettone,P/G,151,30,"5,03",92.0
96,Spinelli Giordano,Di.Po. Vimercate,C,150,26,"5,77",81.0
97,Steccanella Matteo,Viadana Basket,A/C,150,27,"5,56",89.0
98,Ardesi Stefano,Virtus Lumezzane,G,150,30,"5,00",74.0
99,Perego Davide,Blu Orobica Bergamo,A,148,29,"5,10",96.0
100,Degli Agosti Francesco,Sansebasket Cremona,P,146,27,"5,41",81.0
101,Orsatti Massimo ,Lic Verolanuova,P,144,23,"6,26",83.0
102,Cogliati Raffaele,CSA Agrate Brianza,A,143,13,"11,00",83.0
