n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
1,Cuzzani Marco,Pall. Quistello,A,597,29,"20,59",80.0
2,Chahab Matias,New Basket Prevalle,A,583,26,"22,42",80.0
3,Borretti Marco,Basket Bancole,A,524,30,"17,47",79.0
4,Chiabotti Nicola,BK Casalmaggiore,A,519,30,"17,30",88.0
5,Bodini Carlo,Tazio Magni Gussola,P,489,27,"18,11",87.0
6,Faccioli Simone ,Basket Bancole,A,479,29,"16,52",93.0
7,Guzzoni Fabio,Tazio Magni Gussola,A,462,30,"15,40",84.0
8,Zoljan Oskar,Ombriano Basket,G,408,27,"15,11",88.0
9,Mora Matteo,New Basket Prevalle,A,407,30,"13,57",86.0
10,Oldrati Gabriele,Basket Ome 01,C,402,23,"17,48",85.0
11,Mauceri Francesco,Pall. Quistello,A,397,28,"14,18",86.0
12,Castagna Marco,Pontevico Basket,C,396,27,"14,67",88.0
13,Parizzi Riccardo,BK Casalmaggiore,A,394,28,"14,07",86.0
14,Corti PierAlberto ,New Basket Prevalle,G,371,29,"12,79",87.0
15,Compagnoni Paolo ,Basket Sustinente,G/A,370,26,"14,23",93.0
16,Cipelletti Matteo ,Gilbertina Soresina,A,368,26,"14,15",89.0
17,Curti Mattia,Olimpia Basket Castelcovati,A,366,28,"13,07",94.0
18,Patti Marco,MI.GA.L.  Gardonese,G,365,29,"12,59",90.0
19,Balogun Michael,MI.GA.L.  Gardonese,A/C,365,30,"12,17",94.0
20,Maestri Davide,Olimpia Basket Castelcovati,G,364,27,"13,48",94.0
21,Bergomi Giordano ,New Basket Prevalle,G,363,29,"12,52",90.0
22,Mantovani Walter,Pall. Quistello,P,361,30,"12,03",85.0
23,Sacchi Gianluca ,San Pio X Mantova,A,352,30,"11,73",90.0
24,Gasparini Leonardo,Basket Sustinente,G/A,344,22,"15,64",81.0
25,Nava Angelo,Pontevico Basket,G,342,27,"12,67",86.0
26,Sandri Andrea,Basket Ome 01,A,341,26,"13,12",89.0
27,Bianchi Claudio,Basket Ome 01,G,330,28,"11,79",94.0
28,Mazzoldi Matteo,Basket Ome 01,G,327,29,"11,28",84.0
29,Borghi Matteo,Pall. Quistello,C,325,30,"10,83",87.0
30,Riccardi Andrea,Virtus Desenzano,A,313,27,"11,59",88.0
31,Temponi Luca,Olimpia Basket Castelcovati,G/A,301,29,"10,38",82.0
32,Fornasari Matteo,Basket Chiari,A/C,296,24,"12,33",83.0
33,Manenti Filippo,Ombriano Basket,P,295,30,"9,83",87.0
34,Piloni Stefano,Ombriano Basket,P/G,290,28,"10,36",85.0
35,Baggi Gianroberto ,Ombriano Basket,C,289,28,"10,32",85.0
36,Faroni Luca,Virtus Desenzano,A,285,29,"9,83",93.0
37,Boninsegna Giorgio,Pontevico Basket,G,283,29,"9,76",90.0
38,Preosti Maurizio ,Pall. Castegnato,G,279,21,"13,29",86.0
39,Braguzzi Samuele,Basket Sustinente,A,277,27,"10,26",84.0
40,Faccioli Riccardo,Basket Bancole,,274,15,"18,27",82.0
41,Oneta Stefano,Gilbertina Soresina,G,273,29,"9,41",90.0
42,Loda Andrea,Pall. Castegnato,A,265,26,"10,19",91.0
43,Mantovani Davide ,Basket Bancole,P,262,23,"11,39",93.0
44,De Marco Riccardo,MI.GA.L.  Gardonese,C,259,28,"9,25",75.0
45,Cornacchione Amedeo,BK Casalmaggiore,A,256,21,"12,19",90.0
46,Perazzi Davide,Basket Chiari,A,254,19,"13,37",81.0
47,Pilati Simone,MI.GA.L.  Gardonese,A,250,28,"8,93",92.0
48,Cassinerio Matteo Maria,Pall. Quistello,G,246,23,"10,70",83.0
49,Castracani Emanuele ,Virtus Desenzano,A/C,244,28,"8,71",85.0
50,Fugagnoli Davide,Pall. Castegnato,C,243,17,"14,29",92.0
51,Guercilena Andrea ,Ombriano Basket,A,242,26,"9,31",93.0
52,Cecchettin Marco,Pall. Quistello,A,241,30,"8,03",77.0
53,Martinelli Fausto ,Gilbertina Soresina,A,240,24,"10,00",88.0
54,Bontempi Tommaso,Pall. Castegnato,A,237,23,"10,30",88.0
55,Testa Davide,MI.GA.L.  Gardonese,A,232,23,"10,09",92.0
56,Bertoli Stefano ,Basket Chiari,P/G,232,30,"7,73",90.0
57,Bernardelli Iuri Ghisi,San Pio X Mantova,G,231,23,"10,04",83.0
58,Forelli Fabio,Basket Ome 01,A,231,26,"8,88",90.0
59,Fattori Alberto,Basket Chiari,A,230,30,"7,67",94.0
60,Picuno Andrea,Basket Chiari,A,226,26,"8,69",93.0
61,Bandera Cristiano,Pontevico Basket,P,223,27,"8,26",91.0
62,Salardi Enrico,San Pio X Mantova,A/C,222,28,"7,93",85.0
63,Nava Gianluca,Basket Chiari,P,221,26,"8,50",94.0
64,Tanfoglio Simone,Virtus Desenzano,P,220,23,"9,57",67.0
65,Pizzinati Alessandro,San Pio X Mantova,C,220,25,"8,80",88.0
66,Diacci Roberto,BK Casalmaggiore,G,217,29,"7,48",76.0
67,Silocchi Alberto ,Tazio Magni Gussola,G/A,213,19,"11,21",90.0
68,Ferraboschi Pietro,Basket Sustinente,C,210,24,"8,75",84.0
69,Muzio Andrea,Olimpia Basket Castelcovati,P,207,29,"7,14",89.0
70,Canova Federici Filippo,Basket Sustinente,P,205,30,"6,83",81.0
71,Baiguera Michele,Pontevico Basket,A,202,24,"8,42",91.0
72,Nodari Gianluca,Gilbertina Soresina,A/C,202,29,"6,97",93.0
73,Becchetti Gianluca,New Basket Prevalle,P,200,27,"7,41",84.0
74,Zucchi Edoardo,San Pio X Mantova,G/A,195,28,"6,96",90.0
75,Turra Andrea,Virtus Desenzano,G,195,29,"6,72",93.0
76,Vezzoli Giorgio,Basket Chiari,A,194,26,"7,46",84.0
77,Milani Mauro,Olimpia Basket Castelcovati,A,192,28,"6,86",89.0
78,Abbinante Fabrizio ,New Basket Prevalle,C,185,28,"6,61",74.0
