n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,Anno
1,Ubiali Alessandro,Azzanese Basket,G,587,29,"20,24",90.0
2,Vandi Federico,U.S.S.A. Nova Basket,P/G,471,24,"19,63",83.0
3,Deligios Emmanuele,U.S. S.Pellegrino,G,466,28,"16,64",90.0
4,Moschini Andrea,Basket Bellusco,P,443,30,"14,77",78.0
5,Previtali Paolo,U.S. S.Pellegrino,G,431,29,"14,86",83.0
6,Lanzani Alessandro ,Pol. Varedo,A,421,30,"14,03",
7,Oliva Gabriele,Master Carate,,414,28,"14,79",92.0
8,Lodovici Fabio,Cral Dalmine,G,408,29,"14,07",86.0
9,Mantelli Davide,Team 86 Villasanta,C,396,30,"13,20",94.0
10,Parlato Riccardo,Team 86 Villasanta,P/G,395,30,"13,17",88.0
11,Colombo Simone,Pol. Varedo,A,381,30,"12,70",88.0
12,Passero Davide,C.B.B.A.  Brugherio,A,376,28,"13,43",
13,Gritti Mattia,Azzanese Basket,G,359,27,"13,30",91.0
14,Kaburi Maurice,Forti e Liberi Monza,A/C,358,30,"11,93",82.0
15,Formenti Mattia ,Basket Bellusco,A,354,30,"11,80",93.0
16,Galli Fabio,Pol. Varedo,C,348,28,"12,43",89.0
17,Bertolini Erik,C.B.B.A.  Brugherio,G,342,24,"14,25",82.0
18,Fracassetti Daniele,BK Cologno Al Serio,G/A,342,26,"13,15",86.0
19,Trabattoni Filippo,Gerardiana Monza,C,337,23,"14,65",90.0
20,Balossi Giorgio ,Basket Verdello,G,337,29,"11,62",86.0
21,Fossati Fabrizio,Team 86 Villasanta,G,336,28,"12,00",90.0
22,Campana Mattia,Forti e Liberi Monza,A,336,28,"12,00",86.0
23,Turco Matteo,Basket Verdello,P,335,28,"11,96",91.0
24,Novati Lorenzo,U.S.S.A. Nova Basket,P/G,333,26,"12,81",85.0
25,Ndiaye Amadou,Cral Dalmine,C,331,29,"11,41",76.0
26,Perego Mauro,Forti e Liberi Monza,P/G,330,29,"11,38",82.0
27,Meloni Alessandro,Casati Arcore,P,324,27,"12,00",93.0
28,Arosio Luca,Basket Biassono,G,320,29,"11,03",86.0
29,Colombo Federico,Master Carate,,319,26,"12,27",91.0
