,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,U.S.S.A. Nova Basket,54.0,30.0,27.0,3.0,2259.0,1898.0,361.0,13.0,14.0,2.0,1.0
1,Forti e Liberi Monza,46.0,30.0,23.0,7.0,2159.0,1818.0,341.0,11.0,12.0,4.0,3.0
2,Pol. Varedo,46.0,30.0,23.0,7.0,2193.0,1838.0,355.0,13.0,10.0,2.0,5.0
3,Team 86 Villasanta,46.0,30.0,23.0,7.0,2292.0,2033.0,259.0,13.0,10.0,2.0,5.0
4,Cral Dalmine,44.0,30.0,22.0,8.0,2120.0,1944.0,176.0,12.0,10.0,3.0,5.0
5,Azzanese Basket,38.0,30.0,19.0,11.0,2164.0,2076.0,88.0,8.0,11.0,7.0,4.0
6,Basket Bellusco,32.0,30.0,16.0,14.0,2168.0,2029.0,139.0,7.0,9.0,8.0,6.0
7,U.S. S.Pellegrino,32.0,30.0,16.0,14.0,2065.0,2074.0,-9.0,7.0,9.0,8.0,6.0
8,Basket Biassono,30.0,30.0,15.0,15.0,1893.0,1970.0,-77.0,8.0,7.0,7.0,8.0
9,C.B.B.A.  Brugherio,24.0,30.0,12.0,18.0,1966.0,2042.0,-76.0,8.0,4.0,7.0,11.0
10,Scuola BK Treviglio,24.0,30.0,12.0,18.0,1821.0,1936.0,-115.0,7.0,5.0,8.0,10.0
11,Master Carate,22.0,30.0,11.0,19.0,2161.0,2259.0,-98.0,8.0,3.0,7.0,12.0
12,Basket Verdello,20.0,30.0,10.0,20.0,2132.0,2304.0,-172.0,6.0,4.0,9.0,11.0
13,Gerardiana Monza,14.0,30.0,7.0,23.0,1924.0,2239.0,-315.0,5.0,2.0,10.0,13.0
14,BK Cologno Al Serio,8.0,30.0,4.0,26.0,1984.0,2247.0,-263.0,2.0,2.0,13.0,13.0
15,Casati Arcore,0.0,30.0,0.0,30.0,1648.0,2242.0,-594.0,0.0,0.0,15.0,15.0
