,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Olimpo Basket Alba,44.0,26.0,22.0,4.0,1852.0,1714.0,138.0,12.0,10.0,1.0,3.0
1,PGS Don Bosco Crocetta,40.0,26.0,20.0,6.0,2021.0,1662.0,359.0,12.0,8.0,1.0,5.0
2,ASD Basket Club Trecate,36.0,26.0,18.0,8.0,1778.0,1684.0,94.0,11.0,7.0,2.0,6.0
3,US Dil. Basket Rosmini,36.0,26.0,18.0,8.0,2048.0,1770.0,278.0,11.0,7.0,2.0,6.0
4,Spezia Basket  Club A.Dil.,36.0,26.0,18.0,8.0,2011.0,1863.0,148.0,11.0,7.0,2.0,6.0
5,Basket Follo A. Dil.,30.0,26.0,15.0,11.0,1948.0,1839.0,109.0,8.0,7.0,5.0,6.0
6,ASD Basket Club Serravalle,30.0,26.0,15.0,11.0,1878.0,1804.0,74.0,9.0,6.0,4.0,7.0
7,Basket Team 71,24.0,26.0,12.0,14.0,1872.0,1711.0,161.0,7.0,5.0,6.0,8.0
8,Amatori Basket Savigliano,24.0,26.0,12.0,14.0,1737.0,1898.0,-161.0,6.0,6.0,7.0,7.0
9,Cus Genova AS Dil.,20.0,26.0,10.0,16.0,1788.0,1870.0,-82.0,5.0,5.0,8.0,8.0
10,Pall. Moncalieri S. Mauro,20.0,26.0,10.0,16.0,1785.0,1794.0,-9.0,5.0,5.0,8.0,8.0
11,AS Dil. Cestistica Biella,16.0,26.0,8.0,18.0,1737.0,1839.0,-102.0,7.0,1.0,6.0,12.0
12,Basket Pool 2000 Asd,8.0,26.0,4.0,22.0,1649.0,1933.0,-284.0,2.0,2.0,11.0,11.0
13,AS Dil. Il Canestro,0.0,26.0,0.0,26.0,1557.0,2280.0,-723.0,0.0,0.0,13.0,13.0
