,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,O.S.A.L.  Novate,42.0,26,21,5,1834.0,1659.0,175.0,11.0,10.0,2.0,3.0
1,Politecnico  di Milano,40.0,26,20,6,1914.0,1696.0,218.0,10.0,10.0,3.0,3.0
2,ItalControlMeters  Villasanta,40.0,26,20,6,1864.0,1592.0,272.0,10.0,10.0,3.0,3.0
3,S.Giuseppe Arese,40.0,26,20,6,1797.0,1637.0,160.0,11.0,9.0,2.0,4.0
4,Basket  Biassono,28.0,26,14,12,1773.0,1683.0,90.0,5.0,9.0,8.0,4.0
5,Basket  Brusuglio,26.0,26,13,13,1565.0,1588.0,-23.0,7.0,6.0,6.0,7.0
6,C.B.B.A.  Brugherio,26.0,26,13,13,1703.0,1713.0,-10.0,6.0,7.0,7.0,6.0
7,Asa Cinisello,24.0,26,12,14,1678.0,1680.0,-2.0,5.0,7.0,8.0,6.0
8,Mojazza Milano,22.0,26,11,15,1789.0,1825.0,-36.0,5.0,6.0,8.0,7.0
9,Gerardiana  Monza,18.0,26,9,17,1624.0,1728.0,-104.0,4.0,5.0,9.0,8.0
10,Ferrall  Cavenago,16.0,26,8,18,1595.0,1756.0,-161.0,5.0,3.0,8.0,10.0
11,Sporting  Milanino,15.0,26,"7,5","18,5",1609.0,1735.0,-126.0,5.0,4.0,8.0,9.0
12,Basket  Seregno,14.0,26,7,19,1812.0,1934.0,-122.0,4.0,3.0,9.0,10.0
13,Forti E  Liberi Monza,10.0,26,5,21,1594.0,1925.0,-331.0,3.0,2.0,10.0,11.0
