,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,JU.VI.  Cremona,52.0,26.0,26.0,0.0,1980.0,1283.0,697.0,13.0,13.0,0.0,0.0
1,Gilbertina  Soresina,44.0,26.0,22.0,4.0,2079.0,1734.0,345.0,12.0,10.0,1.0,3.0
2,Gamma BK  Segrate,38.0,26.0,19.0,7.0,1915.0,1611.0,304.0,11.0,8.0,2.0,5.0
3,Nova BK Cava  Manara,34.0,26.0,17.0,9.0,1808.0,1679.0,129.0,9.0,8.0,4.0,5.0
4,Ombriano  Basket,32.0,26.0,16.0,10.0,1732.0,1645.0,87.0,11.0,5.0,2.0,8.0
5,Pall.  Tromello,26.0,26.0,13.0,13.0,1628.0,1718.0,-90.0,8.0,5.0,5.0,8.0
6,Pentagono  Trezzano,24.0,26.0,12.0,14.0,1540.0,1578.0,-38.0,6.0,6.0,7.0,7.0
7,Old Socks S.  Martino,22.0,26.0,11.0,15.0,1566.0,1673.0,-107.0,8.0,3.0,5.0,10.0
8,Sanmaurense  Pavia,22.0,26.0,11.0,15.0,1489.0,1681.0,-192.0,8.0,3.0,5.0,10.0
9,Argentia  Gorgonzola,20.0,26.0,10.0,16.0,1734.0,1855.0,-121.0,4.0,6.0,9.0,7.0
10,Pall. MI3  Basiglio,20.0,26.0,10.0,16.0,1589.0,1732.0,-143.0,6.0,4.0,7.0,9.0
11,Vismara  Hoosiers Milano,18.0,26.0,9.0,17.0,1580.0,1652.0,-72.0,5.0,4.0,8.0,9.0
12,Basket  Melzo,8.0,26.0,4.0,22.0,1486.0,1785.0,-299.0,2.0,2.0,11.0,11.0
13,Basket  Pioltello,4.0,26.0,2.0,24.0,1419.0,1919.0,-500.0,2.0,0.0,11.0,13.0
