,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Casa Gioventù  Erba,48.0,24.0,24.0,0.0,1811.0,1325.0,486.0,12.0,12.0,0.0,0.0
1,ABC Lomazzo,36.0,24.0,18.0,6.0,1510.0,1292.0,218.0,10.0,8.0,2.0,4.0
2,Pall. Cabiate,34.0,24.0,17.0,7.0,1516.0,1432.0,84.0,9.0,8.0,3.0,4.0
3,Sportiva BK  Sondrio,34.0,24.0,17.0,7.0,1671.0,1478.0,193.0,8.0,9.0,4.0,3.0
4,Indipendente  Appiano,26.0,24.0,13.0,11.0,1445.0,1447.0,-2.0,6.0,7.0,6.0,5.0
5,Masters  Carate,26.0,24.0,13.0,11.0,1560.0,1516.0,44.0,7.0,6.0,5.0,6.0
6,EW B.M.  Villaguardia,22.0,24.0,11.0,13.0,1462.0,1607.0,-145.0,7.0,4.0,5.0,8.0
7,Giard. Lvs  Orsenigo,20.0,24.0,10.0,14.0,1318.0,1440.0,-122.0,7.0,3.0,5.0,9.0
8,S.Ambrogio  Mariano,16.0,24.0,8.0,16.0,1295.0,1425.0,-130.0,6.0,2.0,6.0,10.0
9,Pall. Como,16.0,24.0,8.0,16.0,1478.0,1615.0,-137.0,4.0,4.0,8.0,8.0
10,Pall.  Albavilla,14.0,24.0,7.0,17.0,1459.0,1592.0,-133.0,3.0,4.0,9.0,8.0
11,Pall. Figino,14.0,24.0,7.0,17.0,1333.0,1451.0,-118.0,4.0,3.0,8.0,9.0
12,Pol. Senna,6.0,24.0,3.0,21.0,1349.0,1587.0,-238.0,2.0,1.0,10.0,11.0
