,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Olimpia  Lumezzane,44.0,26.0,22.0,4.0,1962.0,1761.0,201.0,12.0,10.0,1.0,3.0
1,E' Più Casalmaggiore,40.0,26.0,20.0,6.0,1835.0,1620.0,215.0,11.0,9.0,2.0,4.0
2,Basket Ome,40.0,26.0,20.0,6.0,2016.0,1816.0,200.0,11.0,9.0,2.0,4.0
3,Pall.  Quistello,36.0,26.0,18.0,8.0,1948.0,1740.0,208.0,12.0,6.0,1.0,7.0
4,Tazio Magni  Gussola,36.0,26.0,18.0,8.0,1887.0,1746.0,141.0,11.0,7.0,2.0,6.0
5,Basket  Bancole,34.0,26.0,17.0,9.0,1940.0,1867.0,73.0,9.0,8.0,4.0,5.0
6,Bk Sustinente,26.0,26.0,13.0,13.0,1729.0,1727.0,2.0,8.0,5.0,5.0,8.0
7,San Pio X  Mantova,20.0,26.0,10.0,16.0,1780.0,1781.0,-1.0,4.0,6.0,9.0,7.0
8,Vespa Basket  ASD,20.0,26.0,10.0,16.0,1655.0,1813.0,-158.0,6.0,4.0,7.0,9.0
9,Pontevico  Basket,20.0,26.0,10.0,16.0,1797.0,1895.0,-98.0,6.0,4.0,7.0,9.0
10,Mgm Bk  Brescia,18.0,26.0,9.0,17.0,1747.0,1933.0,-186.0,5.0,4.0,8.0,9.0
11,Marella  Desenzano,14.0,26.0,7.0,19.0,1610.0,1793.0,-183.0,3.0,4.0,10.0,9.0
12,Basket  Chiari,12.0,26.0,6.0,20.0,1766.0,1930.0,-164.0,5.0,1.0,8.0,12.0
13,Cus Brescia,4.0,26.0,2.0,24.0,1639.0,1889.0,-250.0,1.0,1.0,12.0,12.0
