,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Pall. Cerro  Maggiore,46.0,30.0,23.0,7.0,2224.0,1947.0,277.0,12.0,11.0,3.0,4.0
1,BkBall  Gallarate,44.0,30.0,22.0,8.0,2241.0,1907.0,334.0,13.0,9.0,2.0,6.0
2,Allianz Bank  Rovello,44.0,30.0,22.0,8.0,2131.0,1962.0,169.0,12.0,10.0,3.0,5.0
3,Pall.  Castronno,42.0,30.0,21.0,9.0,2146.0,1980.0,166.0,12.0,9.0,3.0,6.0
4,Team ABC  Cantù,42.0,30.0,21.0,9.0,2141.0,2025.0,116.0,12.0,9.0,3.0,6.0
5,Az Pneumatica  - Cares Cadorago,40.0,30.0,20.0,10.0,2265.0,2157.0,108.0,11.0,9.0,4.0,6.0
6,Mia Bk Groane,36.0,30.0,18.0,12.0,2056.0,1902.0,154.0,10.0,8.0,5.0,7.0
7,Sportlandia  Tradate,28.0,30.0,14.0,16.0,2080.0,2112.0,-32.0,9.0,5.0,6.0,10.0
8,Amici Pall.  Varese,24.0,30.0,12.0,18.0,2029.0,2096.0,-67.0,7.0,5.0,8.0,10.0
9,BK Cassano  Magnago,24.0,30.0,12.0,18.0,2048.0,2172.0,-124.0,7.0,5.0,8.0,10.0
10,Ardor Bollate,24.0,30.0,12.0,18.0,2046.0,2151.0,-105.0,7.0,5.0,8.0,10.0
11,BK Bosto  Varese,22.0,30.0,11.0,19.0,1948.0,2199.0,-251.0,8.0,3.0,7.0,12.0
12,Virtus Olona,20.0,30.0,10.0,20.0,1984.0,2159.0,-175.0,6.0,4.0,9.0,11.0
13,Aba Legnano,20.0,30.0,10.0,20.0,1958.0,2060.0,-102.0,6.0,4.0,9.0,11.0
14,Pall.  Verbano Luino,18.0,30.0,9.0,21.0,1966.0,2042.0,-76.0,7.0,2.0,8.0,13.0
15,Basket  Tavernerio,6.0,30.0,3.0,27.0,1718.0,2110.0,-392.0,3.0,0.0,12.0,15.0
