,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,New Basket  Prevalle,48.0,30.0,24.0,6.0,2305.0,2052.0,253.0,13.0,11.0,2.0,4.0
1,Sas  Verolanuova,44.0,30.0,22.0,8.0,2233.0,1995.0,238.0,11.0,11.0,4.0,4.0
2,Romano  Lombardo BK,44.0,30.0,22.0,8.0,2302.0,2021.0,281.0,12.0,10.0,3.0,5.0
3,Seriana  Alzano,44.0,30.0,22.0,8.0,2210.0,1908.0,302.0,12.0,10.0,3.0,5.0
4,Csa Agrate  Brianza,44.0,30.0,22.0,8.0,2253.0,1994.0,259.0,12.0,10.0,3.0,5.0
5,Fortitudo  Busnago,40.0,30.0,20.0,10.0,2174.0,1980.0,194.0,12.0,8.0,3.0,7.0
6,Di.Po.  Vimercate,34.0,30.0,17.0,13.0,2134.0,2018.0,116.0,8.0,9.0,7.0,6.0
7,Pall.  Gardonese,34.0,30.0,17.0,13.0,1985.0,1887.0,98.0,11.0,6.0,4.0,9.0
8,XXL Bergamo,30.0,30.0,15.0,15.0,2106.0,2148.0,-42.0,9.0,6.0,6.0,9.0
9,Remer  Bluorobica Bergamo,30.0,30.0,15.0,15.0,2109.0,2130.0,-21.0,9.0,6.0,6.0,9.0
10,Gagà Milano  Varedo,28.0,30.0,14.0,16.0,1911.0,1983.0,-72.0,8.0,6.0,7.0,9.0
11,Virtus  Bellini Gorle,20.0,30.0,10.0,20.0,1895.0,2005.0,-110.0,5.0,5.0,10.0,10.0
12,Virtus  Brescia,18.0,30.0,9.0,21.0,1880.0,2078.0,-198.0,6.0,3.0,9.0,12.0
13,U.S.S.A. Nova,12.0,30.0,6.0,24.0,1935.0,2185.0,-250.0,4.0,2.0,11.0,13.0
14,Bk Lions  Del Chiese,8.0,30.0,4.0,26.0,1954.0,2341.0,-387.0,2.0,2.0,13.0,13.0
15,Torrazzo JR  Cremona,2.0,30.0,1.0,29.0,1741.0,2402.0,-661.0,1.0,0.0,14.0,15.0
