,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Argomm Iseo,52.0,30.0,26.0,4.0,2425.0,2039.0,386.0,13.0,13.0,2.0,2.0
1,Corona  Platina Piadena,46.0,30.0,23.0,7.0,2216.0,1945.0,271.0,12.0,11.0,3.0,4.0
2,N.P. Vigevano  1955,40.0,30.0,20.0,10.0,2038.0,1943.0,95.0,11.0,9.0,4.0,6.0
3,Basket Team  Pizzighettone,40.0,30.0,20.0,10.0,2134.0,2013.0,121.0,11.0,9.0,4.0,6.0
4,A.S.D.  Milanotre BK,36.0,30.0,18.0,12.0,2230.0,2112.0,118.0,10.0,8.0,5.0,7.0
5,Manerbio  Basket,34.0,30.0,17.0,13.0,2111.0,2063.0,48.0,8.0,9.0,7.0,6.0
6,Omnia BK  Lungavilla,34.0,30.0,17.0,13.0,2266.0,2202.0,64.0,10.0,7.0,5.0,8.0
7,Nuova Olympia  BK Voghera,32.0,30.0,16.0,14.0,1966.0,1912.0,54.0,9.0,7.0,6.0,8.0
8,Virtus  Lumezzane,32.0,30.0,16.0,14.0,2147.0,2129.0,18.0,8.0,8.0,7.0,7.0
9,Pall. Milano  1958,32.0,30.0,16.0,14.0,2232.0,2296.0,-64.0,10.0,6.0,5.0,9.0
10,Opera Basket  Club,26.0,30.0,13.0,17.0,2047.0,2114.0,-67.0,8.0,5.0,7.0,10.0
11,Aironi Pall.  Robbio,24.0,30.0,12.0,18.0,2183.0,2312.0,-129.0,7.0,5.0,8.0,10.0
12,G.S.A. Basket  Sarezzo,22.0,30.0,11.0,19.0,2102.0,2118.0,-16.0,4.0,7.0,11.0,8.0
13,Sansebasket  Cremona,20.0,30.0,10.0,20.0,1965.0,2075.0,-110.0,7.0,3.0,8.0,12.0
14,Ebro BK  Milano,8.0,30.0,4.0,26.0,1805.0,2083.0,-278.0,3.0,1.0,12.0,14.0
15,Viadana  Basket,2.0,30.0,1.0,29.0,1809.0,2320.0,-511.0,0.0,1.0,15.0,14.0
