,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Robur BK  Saronno,50.0,30.0,25.0,5.0,2262.0,1913.0,349.0,14.0,11.0,1.0,4.0
1,N.P. Gordon  Olginate,44.0,30.0,22.0,8.0,2145.0,1952.0,193.0,12.0,10.0,3.0,5.0
2,Pall.  Bernareggio,42.0,30.0,21.0,9.0,2256.0,2067.0,189.0,11.0,10.0,4.0,5.0
3,7 Laghi  Gazzada,40.0,30.0,20.0,10.0,2270.0,1994.0,276.0,11.0,9.0,4.0,6.0
4,Pol. Lierna,38.0,30.0,19.0,11.0,2287.0,2088.0,199.0,10.0,9.0,5.0,6.0
5,USD  Nervianese,34.0,30.0,17.0,13.0,2246.0,2220.0,26.0,8.0,9.0,7.0,6.0
6,A.P.L.  Lissone,32.0,30.0,16.0,14.0,1965.0,2016.0,-51.0,9.0,7.0,6.0,8.0
7,Virtus  Cermenate,32.0,30.0,16.0,14.0,1996.0,2082.0,-86.0,9.0,7.0,6.0,8.0
8,Cistellum  Cislago,30.0,30.0,15.0,15.0,2012.0,2032.0,-20.0,6.0,9.0,9.0,6.0
9,Nelson Somma,30.0,30.0,15.0,15.0,2257.0,2255.0,2.0,8.0,7.0,7.0,8.0
10,Carpe Diem  Calolziocorte,26.0,30.0,13.0,17.0,2156.0,2093.0,63.0,8.0,5.0,7.0,10.0
11,O.S.L.  Garbagnate,26.0,30.0,13.0,17.0,2206.0,2282.0,-76.0,8.0,5.0,7.0,10.0
12,BK Valceresio,22.0,30.0,11.0,19.0,2069.0,2307.0,-238.0,4.0,7.0,11.0,8.0
13,A.S.Dil.  Lesmo 2004,16.0,30.0,8.0,22.0,2227.0,2461.0,-234.0,3.0,5.0,12.0,10.0
14,P.O.S.A.L.  Sesto,12.0,30.0,6.0,24.0,2111.0,2367.0,-256.0,3.0,3.0,12.0,12.0
15,Hydrotherm  Casorate,6.0,30.0,3.0,27.0,1928.0,2264.0,-336.0,2.0,1.0,13.0,14.0
