,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Baskettiamo  Vittuone,44.0,26,22,4,1768.0,1518.0,250.0,12.0,10.0,1.0,3.0
1,Pol. Daverio,39.0,26,"19,5","6,5",1646.0,1481.0,165.0,10.0,10.0,3.0,3.0
2,Cbc Corbetta,34.0,26,17,9,1757.0,1640.0,117.0,11.0,6.0,2.0,7.0
3,Marnatese  Basket,30.0,26,15,11,1580.0,1482.0,98.0,8.0,7.0,5.0,6.0
4,Or.Ma.  Malnate,28.0,26,14,12,1611.0,1578.0,33.0,6.0,8.0,7.0,5.0
5,Motrix  Cavaria,28.0,26,14,12,1736.0,1711.0,25.0,8.0,6.0,5.0,7.0
6,Ardens  Sedriano,28.0,26,14,12,1723.0,1739.0,-16.0,8.0,6.0,5.0,7.0
7,Campus Varese,26.0,26,13,13,1804.0,1759.0,45.0,8.0,5.0,5.0,8.0
8,Pall.  Vergiate Vikings,24.0,26,12,14,1836.0,1853.0,-17.0,6.0,6.0,7.0,7.0
9,ASD Montello,24.0,26,12,14,1543.0,1642.0,-99.0,8.0,4.0,5.0,9.0
10,Jolly Sport  Rho,20.0,26,10,16,1679.0,1748.0,-69.0,5.0,5.0,8.0,8.0
11,Basket  Legnano 91,18.0,26,9,17,1577.0,1652.0,-75.0,5.0,4.0,8.0,9.0
12,B.C.  Arlunese,14.0,26,7,19,1766.0,1913.0,-147.0,5.0,2.0,8.0,11.0
13,Turbigo  Basket,6.0,26,3,23,1409.0,1719.0,-310.0,2.0,1.0,11.0,12.0
