,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,A.S. Dil.  Morbegno,44.0,28,22,6,1909.0,1749.0,160.0,11.0,11.0,3.0,3.0
1,Bocconi  Milano,44.0,28,22,6,2105.0,1772.0,333.0,11.0,11.0,3.0,3.0
2,Soul Basket  Milano,40.0,28,20,8,1784.0,1604.0,180.0,13.0,7.0,1.0,7.0
3,Bionics  Buccinasco,38.0,28,19,9,2019.0,1827.0,192.0,11.0,8.0,3.0,6.0
4,Rondinella  Sesto,38.0,28,19,9,1947.0,1784.0,163.0,10.0,9.0,4.0,5.0
5,Libertas  Cernusco,36.0,28,18,10,1768.0,1599.0,169.0,11.0,7.0,3.0,7.0
6,Spor.Boffalorese,34.0,28,17,11,1944.0,1836.0,108.0,8.0,9.0,6.0,5.0
7,Basketown  Milano,28.0,28,14,14,1841.0,1834.0,7.0,7.0,7.0,7.0,7.0
8,US G.B.  Abbiategrasso,26.0,28,13,15,1746.0,1888.0,-142.0,9.0,4.0,5.0,10.0
9,Rhinos  Robbiate,24.0,28,12,16,1791.0,1885.0,-94.0,7.0,5.0,7.0,9.0
10,Virtus Meda  BK,20.0,28,10,18,1775.0,1867.0,-92.0,6.0,4.0,8.0,10.0
11,Social O.S.A.  Milano,14.0,28,7,21,1615.0,1759.0,-144.0,5.0,2.0,9.0,12.0
12,G.S.Q.S.A. Milano,12.0,28,6,22,1676.0,1883.0,-207.0,3.0,3.0,11.0,11.0
13,Rag.S.Pio X  Milano,12.0,28,6,22,1651.0,1897.0,-246.0,4.0,2.0,10.0,12.0
14,C.S.C. Bk  Cusano,7.0,28,"3,5","24,5",1675.0,2062.0,-387.0,3.0,2.0,11.0,12.0
