,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,SBT  Treviglio,42.0,26.0,21.0,5.0,1693.0,1503.0,190.0,13.0,8.0,0.0,5.0
1,Bottanuco  Basket,42.0,26.0,21.0,5.0,1674.0,1478.0,196.0,11.0,10.0,2.0,3.0
2,Cral  Dalmine,42.0,26.0,21.0,5.0,1922.0,1635.0,287.0,12.0,9.0,1.0,4.0
3,F.lli Maggi  Civatese,32.0,26.0,16.0,10.0,1680.0,1624.0,56.0,9.0,7.0,4.0,6.0
4,BK Cologno  Al Serio,30.0,26.0,15.0,11.0,1726.0,1538.0,188.0,8.0,7.0,5.0,6.0
5,Basket  Vercurago,30.0,26.0,15.0,11.0,1542.0,1465.0,77.0,10.0,5.0,3.0,8.0
6,Pol.  Mandello Al Lario,28.0,26.0,14.0,12.0,1533.0,1499.0,34.0,9.0,5.0,4.0,8.0
7,La Torre  Basket,26.0,26.0,13.0,13.0,1730.0,1689.0,41.0,10.0,3.0,3.0,10.0
8,Ars  Rovagnate,20.0,26.0,10.0,16.0,1616.0,1731.0,-115.0,7.0,3.0,6.0,10.0
9,US. S.  Pellegrino BK,20.0,26.0,10.0,16.0,1589.0,1717.0,-128.0,5.0,5.0,8.0,8.0
10,CB Pescate,20.0,26.0,10.0,16.0,1563.0,1631.0,-68.0,9.0,1.0,4.0,12.0
11,Nino Ronco  Ornago,14.0,26.0,7.0,19.0,1516.0,1646.0,-130.0,5.0,2.0,8.0,11.0
12,Almennese  Basket,12.0,26.0,6.0,20.0,1539.0,1770.0,-231.0,6.0,0.0,7.0,13.0
13,Basket Mezzago,6.0,26.0,3.0,23.0,1420.0,1817.0,-397.0,3.0,0.0,10.0,13.0
