,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Polisportiva  Garegnano,44.0,26.0,22.0,4.0,1811.0,1560.0,251.0,12.0,10.0,1.0,3.0
1,O.SA.L.  Novate,42.0,26.0,21.0,5.0,1944.0,1664.0,280.0,12.0,9.0,1.0,4.0
2,Basket  Brusuglio,36.0,26.0,18.0,8.0,1698.0,1578.0,120.0,10.0,8.0,3.0,5.0
3,Nuova  Argentia Gorgonzola,36.0,26.0,18.0,8.0,1763.0,1641.0,122.0,10.0,8.0,3.0,5.0
4,Pall. Rag.  S. Pio X. Milano,32.0,26.0,16.0,10.0,1692.0,1602.0,90.0,11.0,5.0,2.0,8.0
5,C.B.B.A. Cologno,30.0,26.0,15.0,11.0,1780.0,1714.0,66.0,8.0,7.0,5.0,6.0
6,ASA  Cinisello,26.0,26.0,13.0,13.0,1809.0,1816.0,-7.0,8.0,5.0,5.0,8.0
7,Mojazza  Milano,24.0,26.0,12.0,14.0,1767.0,1802.0,-35.0,7.0,5.0,6.0,8.0
8,Politecnico  Milano,22.0,26.0,11.0,15.0,1743.0,1843.0,-100.0,5.0,6.0,8.0,7.0
9,Basket  Bellusco,22.0,26.0,11.0,15.0,1603.0,1614.0,-11.0,7.0,4.0,6.0,9.0
10,Paderno Dugnano,22.0,26.0,11.0,15.0,1609.0,1659.0,-50.0,6.0,5.0,7.0,8.0
11,Bk Cusano  Milanino,12.0,26.0,6.0,20.0,1544.0,1705.0,-161.0,2.0,4.0,11.0,9.0
12,BC Cavenago  Brianza,12.0,26.0,6.0,20.0,1541.0,1732.0,-191.0,3.0,3.0,10.0,10.0
13,Polisportiva CGB  Brugherio,4.0,26.0,2.0,24.0,1478.0,1852.0,-374.0,2.0,0.0,11.0,13.0
