,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,JUVI  Cremona,56.0,30.0,28.0,2.0,2206.0,1680.0,526.0,15.0,13.0,0.0,2.0
1,Viadana  Basket,48.0,30.0,24.0,6.0,2247.0,1992.0,255.0,13.0,11.0,2.0,4.0
2,Seriana  Basket,48.0,30.0,24.0,6.0,2136.0,1724.0,412.0,13.0,11.0,2.0,4.0
3,New Basket  Prevalle,46.0,30.0,23.0,7.0,2238.0,2069.0,169.0,13.0,10.0,2.0,5.0
4,Lic  Verolanuova,30.0,30.0,15.0,15.0,2217.0,2145.0,72.0,9.0,6.0,6.0,9.0
5,Pall.  Quistello,30.0,30.0,15.0,15.0,2025.0,2000.0,25.0,10.0,5.0,5.0,10.0
6,Fortitudo  Busnago,30.0,30.0,15.0,15.0,2124.0,2098.0,26.0,8.0,7.0,7.0,8.0
7,BK  Sustinente,28.0,30.0,14.0,16.0,2088.0,2104.0,-16.0,9.0,5.0,6.0,10.0
8,Basket  Sarezzo,26.0,30.0,13.0,17.0,2016.0,2052.0,-36.0,9.0,4.0,6.0,11.0
9,Asola Lions  Del Chiese,24.0,30.0,12.0,18.0,2039.0,2186.0,-147.0,9.0,3.0,6.0,12.0
10,Basket  Bancole,24.0,30.0,12.0,18.0,2184.0,2357.0,-173.0,7.0,5.0,8.0,10.0
11,Gamma BK  Segrate,22.0,30.0,11.0,19.0,2000.0,2146.0,-146.0,6.0,5.0,9.0,10.0
12,XXL Bergamo,22.0,30.0,11.0,19.0,2213.0,2369.0,-156.0,8.0,3.0,7.0,12.0
13,Bluorobica  Bergamo,18.0,30.0,9.0,21.0,1965.0,2278.0,-313.0,4.0,5.0,11.0,10.0
14,Bellini  Virtus Gorle,18.0,30.0,9.0,21.0,2040.0,2156.0,-116.0,7.0,2.0,8.0,13.0
15,Virtus  Brescia,10.0,30.0,5.0,25.0,1761.0,2143.0,-382.0,3.0,2.0,12.0,13.0
