,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Pallacanestro Bernareggio,44.0,26.0,22.0,4.0,1836.0,1638.0,198.0,12.0,10.0,1.0,3.0
1,Nuova Pallacanestro Olginate,36.0,26.0,18.0,8.0,1798.0,1692.0,106.0,8.0,10.0,5.0,3.0
2,Corona Platina Piadena,30.0,26.0,15.0,11.0,1893.0,1767.0,126.0,10.0,5.0,3.0,8.0
3,Virtus Lumezzane,30.0,26.0,15.0,11.0,1811.0,1754.0,57.0,8.0,7.0,5.0,6.0
4,Sanse Tedeschi Cremona,28.0,26.0,14.0,12.0,1796.0,1761.0,35.0,7.0,7.0,6.0,6.0
5,Mazzoleni BT Pizzighettone,26.0,26.0,13.0,13.0,1691.0,1728.0,-37.0,9.0,4.0,4.0,9.0
6,Carpe Diem Calolziocorte,26.0,26.0,13.0,13.0,1760.0,1760.0,0.0,6.0,7.0,7.0,6.0
7,Evolut Romano Basket,26.0,26.0,13.0,13.0,1780.0,1823.0,-43.0,7.0,6.0,6.0,7.0
8,Pallacanestro  Gardonese,26.0,26.0,13.0,13.0,1843.0,1861.0,-18.0,7.0,6.0,6.0,7.0
9,Ass.  Pol. Dil. Lierna,22.0,26.0,11.0,15.0,1862.0,1824.0,38.0,8.0,3.0,5.0,10.0
10,CSA Agrate Brianza,22.0,26.0,11.0,15.0,1788.0,1887.0,-99.0,7.0,4.0,6.0,9.0
11,Pallacanestro Lissone,20.0,26.0,10.0,16.0,1662.0,1650.0,12.0,7.0,3.0,6.0,10.0
12,Libertas Cernusco,14.0,26.0,7.0,19.0,1686.0,1876.0,-190.0,4.0,3.0,9.0,10.0
13,Manerbio Basket,14.0,26.0,7.0,19.0,1722.0,1907.0,-185.0,3.0,4.0,10.0,9.0
