,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Hydrotherm  Busto Arsizio,50.0,26.0,25.0,1.0,1909.0,1423.0,486.0,13.0,12.0,0.0,1.0
1,Or.Ma  Malnate,40.0,26.0,20.0,6.0,1925.0,1703.0,222.0,11.0,9.0,2.0,4.0
2,Virtus  Olona,34.0,26.0,17.0,9.0,1837.0,1850.0,-13.0,10.0,7.0,3.0,6.0
3,CBC  Basketschool Corbetta,30.0,26.0,15.0,11.0,1672.0,1606.0,66.0,8.0,7.0,5.0,6.0
4,Motrix  Cavaria,28.0,26.0,14.0,12.0,1741.0,1792.0,-51.0,10.0,4.0,3.0,9.0
5,Ardens  Sedriano Basket,24.0,26.0,12.0,14.0,1781.0,1772.0,9.0,7.0,5.0,6.0,8.0
6,Pall.  Vergiate Vikings,24.0,26.0,12.0,14.0,1810.0,1785.0,25.0,7.0,5.0,6.0,8.0
7,San  Giuseppe Arese,24.0,26.0,12.0,14.0,1590.0,1657.0,-67.0,7.0,5.0,6.0,8.0
8,Marnatese  Basket,24.0,26.0,12.0,14.0,1548.0,1579.0,-31.0,8.0,4.0,5.0,9.0
9,Libertas  Vanzago,20.0,26.0,10.0,16.0,1635.0,1700.0,-65.0,6.0,4.0,7.0,9.0
10,Montello  1982,18.0,26.0,9.0,17.0,1528.0,1676.0,-148.0,7.0,2.0,6.0,11.0
11,Limax  Clivio,16.0,26.0,8.0,18.0,1683.0,1780.0,-97.0,4.0,4.0,9.0,9.0
12,Campus  Varese,16.0,26.0,8.0,18.0,1572.0,1680.0,-108.0,7.0,1.0,6.0,12.0
13,Pallacanestro Gavirate,16.0,26.0,8.0,18.0,1546.0,1774.0,-228.0,4.0,4.0,9.0,9.0
