,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Nuova  Olimpia Voghera,48.0,26.0,24.0,2.0,1950.0,1628.0,322.0,13.0,11.0,0.0,2.0
1,Nuova BK  Cava Manara,42.0,26.0,21.0,5.0,1765.0,1549.0,216.0,12.0,9.0,1.0,4.0
2,Old Socks  S. Martino,34.0,26.0,17.0,9.0,1679.0,1590.0,89.0,9.0,8.0,4.0,5.0
3,Milano 3  Basiglio,30.0,26.0,15.0,11.0,1716.0,1714.0,2.0,9.0,6.0,4.0,7.0
4,Quartiere  S. Ambrogio,30.0,26.0,15.0,11.0,1773.0,1716.0,57.0,9.0,6.0,4.0,7.0
5,San  Maurense Pavia,30.0,26.0,15.0,11.0,1594.0,1569.0,25.0,8.0,7.0,5.0,6.0
6,Phoenix  Voghera,28.0,26.0,14.0,12.0,1846.0,1752.0,94.0,7.0,7.0,6.0,6.0
7,Vismara  Milano,28.0,26.0,14.0,12.0,1775.0,1638.0,137.0,8.0,6.0,5.0,7.0
8,Pallacanestro  Tromello,24.0,26.0,12.0,14.0,1626.0,1647.0,-21.0,7.0,5.0,6.0,8.0
9,US GB Abbiategrasso,22.0,26.0,11.0,15.0,1748.0,1848.0,-100.0,6.0,5.0,7.0,8.0
10,Kor San  Giuliano,20.0,26.0,10.0,16.0,1644.0,1706.0,-62.0,6.0,4.0,7.0,9.0
11,Città di  Opera,14.0,26.0,7.0,19.0,1589.0,1746.0,-157.0,5.0,2.0,8.0,11.0
12,Pentagono  Trezzano,9.0,26.0,5.0,21.0,1544.0,1786.0,-242.0,3.0,2.0,10.0,11.0
13,Frassati Basket  Castiglione A.,4.0,26.0,2.0,24.0,1539.0,1899.0,-360.0,2.0,0.0,11.0,13.0
