,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,ASD Lesmo,48.0,30.0,24.0,6.0,2413.0,2074.0,339.0,11.0,13.0,4.0,2.0
1,Crac  Bionics Buccinasco,46.0,30.0,23.0,7.0,2050.0,1815.0,235.0,12.0,11.0,3.0,4.0
2,Bocconi  Milano,40.0,30.0,20.0,10.0,2028.0,1898.0,130.0,11.0,9.0,4.0,6.0
3,Rondinella  Sesto,38.0,30.0,19.0,11.0,1965.0,1824.0,141.0,12.0,7.0,3.0,8.0
4,Ebro Basket,38.0,30.0,19.0,11.0,2161.0,1956.0,205.0,10.0,9.0,5.0,6.0
5,Ussa Nova  Milanese,34.0,30.0,17.0,13.0,1809.0,1846.0,-37.0,9.0,8.0,6.0,7.0
6,Sportiva  Boffalorese,34.0,30.0,17.0,13.0,1925.0,1932.0,-7.0,9.0,8.0,6.0,7.0
7,Soul Basket  Milano,34.0,30.0,17.0,13.0,1970.0,1879.0,91.0,10.0,7.0,5.0,8.0
8,Di.Po.  Vimercate,32.0,30.0,16.0,14.0,1979.0,1975.0,4.0,6.0,10.0,9.0,5.0
9,ASD  Morbegno,30.0,30.0,15.0,15.0,2027.0,1977.0,50.0,10.0,5.0,5.0,10.0
10,Basketown  Milano,24.0,30.0,12.0,18.0,1994.0,2057.0,-63.0,6.0,6.0,9.0,9.0
11,Pol. Varedo,24.0,30.0,12.0,18.0,2135.0,2091.0,44.0,7.0,5.0,8.0,10.0
12,MetalGalvano  Sesto,22.0,30.0,11.0,19.0,1880.0,2026.0,-146.0,6.0,5.0,9.0,10.0
13,Baskettiamo  Vittuone,16.0,30.0,8.0,22.0,1834.0,2047.0,-213.0,8.0,0.0,7.0,15.0
14,Ardor  Bollate,14.0,30.0,7.0,23.0,1687.0,1977.0,-290.0,4.0,3.0,11.0,12.0
15,Social Osa,6.0,30.0,3.0,27.0,1515.0,1998.0,-483.0,3.0,0.0,12.0,15.0
