,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,ItalControlMeters  Villasanta,46.0,26.0,23.0,3.0,1817.0,1439.0,378.0,12.0,11.0,1.0,2.0
1,Pallacanestro  Cabiate,46.0,26.0,23.0,3.0,1819.0,1478.0,341.0,11.0,12.0,2.0,1.0
2,Sportiva BK  Sondrio,40.0,26.0,20.0,6.0,1730.0,1517.0,213.0,11.0,9.0,2.0,4.0
3,ABC Lomazzo,38.0,26.0,19.0,7.0,1587.0,1396.0,191.0,10.0,9.0,3.0,4.0
4,Indipendente  Appiano,32.0,26.0,16.0,10.0,1644.0,1536.0,108.0,10.0,6.0,3.0,7.0
5,Master  Carate Brianza,30.0,26.0,15.0,11.0,1653.0,1583.0,70.0,7.0,8.0,6.0,5.0
6,Basket  Tavernerio,26.0,26.0,13.0,13.0,1519.0,1476.0,43.0,8.0,5.0,5.0,8.0
7,Basket  Biassono,24.0,26.0,12.0,14.0,1685.0,1715.0,-30.0,8.0,4.0,5.0,9.0
8,Pallacanestro  Albavilla,22.0,26.0,11.0,15.0,1422.0,1498.0,-76.0,7.0,4.0,6.0,9.0
9,GS Villa Guardia,18.0,26.0,9.0,17.0,1627.0,1738.0,-111.0,7.0,2.0,6.0,11.0
10,S. Ambrogio  Mariano,16.0,26.0,8.0,18.0,1399.0,1506.0,-107.0,5.0,3.0,8.0,10.0
11,Pallacanestro  Como,16.0,26.0,8.0,18.0,1452.0,1647.0,-195.0,4.0,4.0,9.0,9.0
12,Gerardiana  Monza,6.0,26.0,3.0,23.0,1369.0,1742.0,-373.0,3.0,0.0,10.0,13.0
13,Forti E Liberi Monza,4.0,26.0,2.0,24.0,1444.0,1896.0,-452.0,2.0,0.0,11.0,13.0
