,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Pavia Basket,48.0,26.0,24.0,2.0,1989.0,1547.0,442.0,13.0,11.0,0.0,2.0
1,Omnia Basket Pavia,44.0,26.0,22.0,4.0,2066.0,1736.0,330.0,10.0,12.0,3.0,1.0
2,Nuova Pall. Vigevano 1955,36.0,26.0,18.0,8.0,1947.0,1692.0,255.0,10.0,8.0,3.0,5.0
3,7 Laghi Gazzada Schianno,32.0,26.0,16.0,10.0,1924.0,1852.0,72.0,9.0,7.0,4.0,6.0
4,Milano 3 Basket Basiglio,30.0,26.0,15.0,11.0,1847.0,1776.0,71.0,8.0,7.0,5.0,6.0
5,Robur Saronno,28.0,26.0,14.0,12.0,1896.0,1870.0,26.0,8.0,6.0,5.0,7.0
6,Basket Team Battaglia,28.0,26.0,14.0,12.0,1908.0,1777.0,131.0,10.0,4.0,3.0,9.0
7,Nervianese 1919,28.0,26.0,14.0,12.0,2038.0,2002.0,36.0,9.0,5.0,4.0,8.0
8,Virtus  Cermenate,22.0,26.0,11.0,15.0,1626.0,1741.0,-115.0,6.0,5.0,7.0,8.0
9,Osl Resistor Garbagnate,20.0,26.0,10.0,16.0,1827.0,1904.0,-77.0,6.0,4.0,7.0,9.0
10,Pallacanestro Milano,18.0,26.0,9.0,17.0,1789.0,1950.0,-161.0,6.0,3.0,7.0,10.0
11,Opera Basket Club,16.0,26.0,8.0,18.0,1834.0,2000.0,-166.0,6.0,2.0,7.0,11.0
12,Valceresio Arcisate,8.0,26.0,4.0,22.0,1611.0,2103.0,-492.0,2.0,2.0,11.0,11.0
13,Cistellum Cislago,6.0,26.0,3.0,23.0,1609.0,1961.0,-352.0,2.0,1.0,11.0,12.0
