,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Basketball  Gallarate,48.0,30.0,24.0,6.0,2263.0,1928.0,335.0,14.0,10.0,1.0,5.0
1,Pall. Cerro  Maggiore,46.0,30.0,23.0,7.0,2111.0,1794.0,317.0,15.0,8.0,0.0,7.0
2,Casa Della  Gioventù Erba,46.0,30.0,23.0,7.0,2100.0,1920.0,180.0,13.0,10.0,2.0,5.0
3,Pall.  Aironi Robbio,40.0,30.0,20.0,10.0,2252.0,2101.0,151.0,12.0,8.0,3.0,7.0
4,Nuova  Basket Groane,40.0,30.0,20.0,10.0,2050.0,1855.0,195.0,10.0,10.0,5.0,5.0
5,Team ABC  Cantù,40.0,30.0,20.0,10.0,2239.0,1975.0,264.0,9.0,11.0,6.0,4.0
6,Olimpia  Cadorago,28.0,30.0,14.0,16.0,2058.0,2092.0,-34.0,7.0,7.0,8.0,8.0
7,Basket  Cassano Magnago,28.0,30.0,14.0,16.0,2018.0,2207.0,-189.0,8.0,6.0,7.0,9.0
8,Pallacanestro  Castronno,26.0,30.0,13.0,17.0,2011.0,2147.0,-136.0,8.0,5.0,7.0,10.0
9,Rams  Daverio,26.0,30.0,13.0,17.0,2042.0,2099.0,-57.0,8.0,5.0,7.0,10.0
10,Basket  Rovello,24.0,30.0,12.0,18.0,1992.0,2039.0,-47.0,6.0,6.0,9.0,9.0
11,Verbano  Luino,22.0,30.0,11.0,19.0,1916.0,2068.0,-152.0,5.0,6.0,10.0,9.0
12,GS  Casoratese,20.0,30.0,10.0,20.0,1941.0,2077.0,-136.0,5.0,5.0,10.0,10.0
13,Amici Della  Pall. Varese,18.0,30.0,9.0,21.0,2029.0,2194.0,-165.0,5.0,4.0,10.0,11.0
14,Sportlandia  Tradate,16.0,30.0,8.0,22.0,1963.0,2212.0,-249.0,4.0,4.0,11.0,11.0
15,Aba Legnano,12.0,30.0,6.0,24.0,1801.0,2078.0,-277.0,2.0,4.0,13.0,11.0
