,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Pall.  Moncalieri S. Mauro,44.0,30.0,22.0,8.0,2153.0,2029.0,124.0,14.0,8.0,1.0,7.0
1,Fulgor  Omegna,38.0,30.0,19.0,11.0,2051.0,1940.0,111.0,12.0,7.0,3.0,8.0
2,Etrusca  Basket S. Miniato,38.0,30.0,19.0,11.0,2151.0,1942.0,209.0,13.0,6.0,2.0,9.0
3,Fiorentina  Basket Scandicci,36.0,30.0,18.0,12.0,2155.0,2110.0,45.0,12.0,6.0,3.0,9.0
4,Valsesia  Basket Borgosesia,32.0,30.0,16.0,14.0,2181.0,2087.0,94.0,12.0,4.0,3.0,11.0
5,Bottegone  S. Angelo,32.0,30.0,16.0,14.0,2213.0,2182.0,31.0,10.0,6.0,5.0,9.0
6,US Empolese,32.0,30.0,16.0,14.0,2040.0,1988.0,52.0,12.0,4.0,3.0,11.0
7,Montecatini  Terme B,30.0,30.0,15.0,15.0,2099.0,2057.0,42.0,11.0,4.0,4.0,11.0
8,Basket  Golfo Piombino,30.0,30.0,15.0,15.0,2146.0,2141.0,5.0,10.0,5.0,5.0,10.0
9,Basket  Cecina,28.0,30.0,14.0,16.0,2114.0,2214.0,-100.0,10.0,4.0,5.0,11.0
10,Robur Fides  Varese,26.0,30.0,13.0,17.0,2005.0,2103.0,-98.0,8.0,5.0,7.0,10.0
11,Virtus  Siena,26.0,30.0,13.0,17.0,1964.0,2102.0,-138.0,11.0,2.0,4.0,13.0
12,Sangiorgese  S. Giorgio L.,24.0,30.0,12.0,18.0,2140.0,2183.0,-43.0,8.0,4.0,7.0,11.0
13,Pino  Dragons Firenze,22.0,30.0,11.0,19.0,2030.0,2133.0,-103.0,7.0,4.0,8.0,11.0
14,Oleggio  Magic Basket,22.0,30.0,11.0,19.0,2073.0,2152.0,-79.0,9.0,2.0,6.0,13.0
15,Basket  Rosmini Domodossola,20.0,30.0,10.0,20.0,1994.0,2146.0,-152.0,8.0,2.0,7.0,13.0
