,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Gilbertina  Soresina,46.0,26.0,23.0,3.0,1999.0,1644.0,355.0,12.0,11.0,1.0,2.0
1,Olimpia  Lumezzane,40.0,26.0,20.0,6.0,2014.0,1700.0,314.0,11.0,9.0,2.0,4.0
2,BK  Casalmaggiore,38.0,26.0,19.0,7.0,1952.0,1727.0,225.0,11.0,8.0,2.0,5.0
3,Tazio Magni  Gussola,36.0,26.0,18.0,8.0,1909.0,1757.0,152.0,9.0,9.0,4.0,4.0
4,Basket Ome  01,34.0,26.0,17.0,9.0,1864.0,1642.0,222.0,10.0,7.0,3.0,6.0
5,Ombriano  Basket,34.0,26.0,17.0,9.0,1839.0,1663.0,176.0,11.0,6.0,2.0,7.0
6,Pontevico  Basket,22.0,26.0,11.0,15.0,1683.0,1685.0,-2.0,7.0,4.0,6.0,9.0
7,San Pio X  Mantova,22.0,26.0,11.0,15.0,1677.0,1829.0,-152.0,7.0,4.0,6.0,9.0
8,MGM BK  Brescia,22.0,26.0,11.0,15.0,1698.0,1857.0,-159.0,7.0,4.0,6.0,9.0
9,Vanoli  Young Cremona,18.0,26.0,9.0,17.0,1627.0,1838.0,-211.0,6.0,3.0,7.0,10.0
10,Vespa  Basket,16.0,26.0,8.0,18.0,1854.0,1990.0,-136.0,7.0,1.0,6.0,12.0
11,Padernese  Basket,16.0,26.0,8.0,18.0,1692.0,1925.0,-233.0,5.0,3.0,8.0,10.0
12,Ospitaletto  Basket,14.0,26.0,7.0,19.0,1718.0,1949.0,-231.0,5.0,2.0,8.0,11.0
13,Virtus Desenzano,6.0,26.0,3.0,23.0,1707.0,2027.0,-320.0,2.0,1.0,11.0,12.0
