,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Pall.  Orzinuovi,50.0,30.0,25.0,5.0,2251.0,1914.0,337.0,14.0,11.0,1.0,4.0
1,Co.Mark  Bergamo Basket,48.0,30.0,24.0,6.0,2279.0,1999.0,280.0,13.0,11.0,2.0,4.0
2,Pallacanestro  Piacentina,44.0,30.0,22.0,8.0,2412.0,2092.0,320.0,12.0,10.0,3.0,5.0
3,Benedetto  XIV 2011 Cento,42.0,30.0,21.0,9.0,2247.0,1977.0,270.0,11.0,10.0,4.0,5.0
4,Raggisolaris  Faenza,38.0,30.0,19.0,11.0,2148.0,2101.0,47.0,12.0,7.0,3.0,8.0
5,Basket  Lecco,38.0,30.0,19.0,11.0,2113.0,1951.0,162.0,12.0,7.0,3.0,8.0
6,Basket 2000  Reggio Emilia,30.0,30.0,15.0,15.0,2111.0,2107.0,4.0,10.0,5.0,5.0,10.0
7,Pallacanestro  Crema,30.0,30.0,15.0,15.0,2044.0,2107.0,-63.0,9.0,6.0,6.0,9.0
8,Virtus  Basket Padova,28.0,30.0,14.0,16.0,2123.0,2120.0,3.0,8.0,6.0,7.0,9.0
9,Auroria  Desio 94,28.0,30.0,14.0,16.0,2139.0,2076.0,63.0,6.0,8.0,9.0,7.0
10,Urania  Basket Milano,24.0,30.0,12.0,18.0,2189.0,2198.0,-9.0,7.0,5.0,8.0,10.0
11,Pall. Alto  Sebino Costa V.,20.0,30.0,10.0,20.0,2186.0,2353.0,-167.0,6.0,4.0,9.0,11.0
12,Pirates  Accademia Basket,18.0,30.0,9.0,21.0,1905.0,2313.0,-408.0,5.0,4.0,10.0,11.0
13,Pallacanestro  Vicenza 2012,18.0,30.0,9.0,21.0,2091.0,2239.0,-148.0,6.0,3.0,9.0,12.0
14,Rucker  Sanve San Vendemiano,14.0,30.0,7.0,23.0,2028.0,2321.0,-293.0,5.0,2.0,10.0,13.0
15,Argomm Iseo,10.0,30.0,5.0,25.0,2006.0,2404.0,-398.0,3.0,2.0,12.0,13.0
